date,symbol,r4a_reco,market_bin,above_ma200,sent7_gt_0_2,prev_rule_ok,f10_T,avg_a_1_10,delta,hit
2026-01-05,TEAD,NO,>2,<0,NO,NO,0.6702353343597722,0.65285,-0.017385334359772187,0
2026-01-05,CVE,NO,>2,>0,NO,NO,17.806399025412297,17.136999999999997,-0.6693990254123001,0
2026-01-05,AAPL,NO,>2,>0,NO,NO,275.23681905842767,258.28,-16.956819058427698,0
2026-01-05,BWMX,YES,>2,>0,NO,NO,16.069258107014175,16.483,0.41374189298582564,1
2026-01-05,TWLO,NO,>2,>0,NO,NO,140.29218563991049,129.454,-10.838185639910478,0
2026-01-05,BRZE,NO,>2,>0,NO,NO,32.98403874541674,28.293,-4.691038745416741,0
2026-01-05,STZ,NO,>2,<0,NO,NO,142.07672687735115,150.9520334467484,8.875306569397253,1
2026-01-05,UTZ,NO,>2,<0,NO,NO,10.422205441183472,10.143,-0.27920544118347124,0
2026-01-05,PRU,NO,>2,>0,NO,NO,115.30153834859765,115.982,0.6804616514023536,1
2026-01-05,FLOC,YES,>2,>0,NO,NO,19.257110918874304,19.58,0.3228890811256946,1
2026-01-05,NESR,YES,>2,>0,NO,NO,15.984780638402562,17.7035,1.7187193615974365,1
2026-01-05,AHCO,NO,>2,>0,NO,NO,9.783800971413152,10.509,0.7251990285868484,1
2026-01-05,LKQ,NO,>2,<0,NO,NO,30.372323137727975,32.906,2.5336768622720243,1
2026-01-05,IMXI,NO,>2,>0,NO,NO,15.512097506388786,15.485,-0.027097506388786385,0
2026-01-05,IBM,NO,>2,>0,NO,NO,294.7594224694846,302.548,7.788577530515397,1
2026-01-05,HBM,YES,>2,>0,NO,NO,20.308583990730305,22.338,2.0294160092696956,1
2026-01-05,KINS,NO,>2,>0,NO,NO,16.42073236932747,16.457,0.036267630672529805,1
2026-01-05,SPB,NO,>2,>0,NO,NO,60.58201163473595,63.25600000000001,2.6739883652640586,1
2026-01-05,LW,NO,>2,<0,NO,NO,42.668825336105776,42.183,-0.4858253361057763,0
2026-01-05,AENT,YES,>2,>0,NO,NO,8.081163949778574,7.6995000000000005,-0.38166394977857365,0
2026-01-05,CDE,NO,>2,>0,NO,NO,17.704290804907856,20.892000000000003,3.187709195092147,1
2026-01-05,DOX,NO,>2,<0,NO,NO,80.84525975778163,83.328,2.4827402422183695,1
2026-01-05,LFST,NO,>2,>0,NO,NO,7.0192010444278665,7.319,0.29979895557213343,1
2026-01-05,CLS,NO,>2,>0,NO,NO,304.6772463929144,309.296,4.61875360708558,1
2026-01-05,CSTM,YES,>2,>0,NO,NO,19.91386160537134,21.468,1.5541383946286587,1
2026-01-05,SLGN,NO,>2,<0,NO,NO,41.48772440119998,42.35000000000001,0.862275598800025,1
2026-01-05,AMTM,YES,>2,>0,NO,NO,30.65484246281805,33.589,2.9341575371819495,1
2026-01-05,COP,NO,>2,>0,NO,NO,97.17912969635402,97.22200000000001,0.042870303645983654,1
2026-01-05,SNPS,NO,>2,>0,NO,NO,482.72761376803544,515.4170000000001,32.689386231964704,1
2026-01-05,CG,NO,>2,>0,NO,NO,61.12410414120411,64.98600000000002,3.8618958587959114,1
2026-01-05,CHMI,NO,>2,>0,NO,NO,2.5308893112807733,2.6249999999999996,0.09411068871922623,1
2026-01-05,ASML,YES,>2,>0,NO,NO,1168.771598942874,1277.021,108.24940105712585,1
2026-01-05,CCJ,NO,>2,>0,NO,NO,98.94741408866528,109.393,10.445585911334717,1
2026-01-05,CWAN,YES,>2,>0,NO,NO,24.195580784431993,24.153000000000002,-0.04258078443199054,0
2026-01-05,ALAB,NO,>2,>0,NO,NO,180.160905938001,171.15900000000002,-9.001905938000988,0
2026-01-05,TX,NO,>2,>0,NO,NO,39.2577693608038,41.056,1.7982306391961984,1
2026-01-05,HLF,NO,>2,>0,NO,NO,12.856195457214966,15.538,2.6818045427850343,1
2026-01-05,TBLA,YES,>2,>0,NO,NO,4.441349423025031,4.228,-0.21334942302503102,0
2026-01-05,DBRG,YES,>2,>0,NO,NO,15.399017952096,15.357999999999999,-0.04101795209600212,0
2026-01-05,FSLR,NO,>2,>0,NO,NO,274.51392223932953,243.993,-30.520922239329536,0
2026-01-05,DDL,YES,>2,>0,NO,NO,2.657914160092697,2.839,0.18108583990730276,1
2026-01-05,PACS,YES,>2,>0,NO,NO,39.36153727718607,40.16199999999999,0.8004627228139185,1
2026-01-05,TSLA,NO,>2,>0,NO,NO,431.0505077697179,437.58599999999996,6.5354922302820455,1
2026-01-05,ERIE,NO,>2,<0,NO,NO,234.31004568634305,283.401,49.090954313656965,1
2026-01-06,FINV,YES,0-2,<0,NO,NO,5.562388533515341,5.149,-0.41338853351534066,0
2026-01-06,SLB,YES,0-2,>0,NO,NO,45.13245190552531,45.82899999999999,0.6965480944746858,1
2026-01-06,RCI,NO,0-2,>0,NO,NO,38.9012413295027,36.217999999999996,-2.6832413295027067,0
2026-01-06,ZM,NO,0-2,>0,NO,NO,89.0906022920271,83.51400000000001,-5.57660229202709,0
2026-01-06,ZBH,NO,0-2,<0,NO,NO,95.18974198822242,89.804,-5.385741988222421,0
2026-01-06,WMT,NO,0-2,>0,NO,NO,115.6095822288535,117.56599999999999,1.9564177711464907,1
2026-01-06,GE,YES,0-2,>0,NO,NO,332.2729908255424,320.58500000000004,-11.687990825542386,0
2026-01-06,BIIB,NO,0-2,>0,NO,NO,178.88028690020792,176.47599999999997,-2.40428690020795,0
2026-01-06,AHL,NO,0-2,<0,NO,NO,38.069600601577754,37.266999999999996,-0.8026006015777583,0
2026-01-06,NX,YES,0-2,<0,NO,NO,16.106371406803067,17.785999999999998,1.6796285931969308,1
2026-01-06,UIS,NO,0-2,<0,NO,NO,2.877176314661672,3.1700000000000004,0.2928236853383286,1
2026-01-06,CRTO,NO,0-2,<0,NO,NO,20.676982508214156,20.380999999999997,-0.29598250821415917,0
2026-01-06,W,YES,0-2,>0,NO,NO,107.68984849446836,113.93800000000002,6.248151505531652,1
2026-01-06,ASIX,NO,0-2,<0,NO,NO,17.00784447865907,17.747,0.7391555213409298,1
2026-01-06,ASML,YES,0-2,>0,NO,NO,1253.8273133759783,1288.8110000000001,34.98368662402186,1
2026-01-06,SHOP,NO,0-2,>0,NO,NO,169.67281043158044,158.92199999999997,-10.750810431580476,0
2026-01-06,GPCR,NO,0-2,>0,NO,NO,64.06935556578468,79.192,15.122644434215317,1
2026-01-06,GOOGL,YES,0-2,>0,NO,NO,323.0093017174331,329.28200000000004,6.272698282566921,1
2026-01-06,XPO,NO,0-2,>0,NO,NO,148.00003900731735,147.854,-0.14603900731734143,0
2026-01-06,AAPL,NO,0-2,>0,NO,NO,272.46464579927306,256.80899999999997,-15.655645799273088,0
2026-01-06,ITGR,YES,0-2,<0,NO,NO,81.24540971571881,84.22,2.9745902842811915,1
2026-01-06,TWLO,NO,0-2,>0,NO,NO,138.7249836907351,127.543,-11.18198369073508,0
2026-01-06,MDB,NO,0-2,>0,NO,NO,428.1028535658164,403.373,-24.729853565816427,0
2026-01-06,BMRN,YES,0-2,>0,NO,NO,59.847584085966886,57.233999999999995,-2.6135840859668917,0
2026-01-06,UTZ,NO,0-2,<0,NO,NO,9.976315534674052,10.195,0.2186844653259481,1
2026-01-06,BWMX,YES,0-2,>0,NO,NO,16.234043507245918,16.733000000000004,0.49895649275408616,1
2026-01-06,TEAD,NO,0-2,<0,NO,NO,0.6893310542689799,0.65608,-0.033251054268979896,0
2026-01-06,BRZE,NO,0-2,>0,NO,NO,32.31520388565261,27.568,-4.747203885652606,0
2026-01-06,HAL,YES,0-2,>0,NO,NO,32.35285130394756,32.35,-0.0028513039475583923,0
2026-01-06,STZ,NO,0-2,<0,NO,NO,143.37562356153077,152.9121140142517,9.536490452720926,1
2026-01-06,FLOC,YES,0-2,>0,NO,NO,19.32496373073443,19.762,0.43703626926556893,1
2026-01-06,NESR,YES,0-2,>0,NO,NO,16.30465818002889,18.0285,1.7238418199711099,1
2026-01-06,AHCO,NO,0-2,>0,NO,NO,9.890426818621926,10.552999999999999,0.6625731813780735,1
2026-01-06,IMXI,NO,0-2,>0,NO,NO,15.54905981651085,15.491999999999999,-0.05705981651085068,0
2026-01-06,LKQ,NO,0-2,<0,NO,NO,31.351342280281266,33.133,1.781657719718737,1
2026-01-06,LW,NO,0-2,<0,NO,NO,41.709192711226805,42.462999999999994,0.7538072887731886,1
2026-01-06,AENT,NO,0-2,>0,NO,NO,7.935765067221155,7.666500000000001,-0.26926506722115384,0
2026-01-06,MD,NO,0-2,>0,NO,NO,22.100780424120252,22.168999999999997,0.06821957587974481,1
2026-01-06,KINS,NO,0-2,>0,NO,NO,16.7890762051396,16.398999999999994,-0.39007620513960717,0
2026-01-06,SPB,NO,0-2,>0,NO,NO,60.901889176362275,63.396,2.494110823637726,1
2026-01-06,DOX,NO,0-2,<0,NO,NO,81.69826653545182,83.42000000000002,1.721733464548194,1
2026-01-06,HBM,YES,0-2,>0,NO,NO,21.471775051189663,22.6,1.1282249488103382,1
2026-01-06,LFST,NO,0-2,>0,NO,NO,7.106440373962318,7.311999999999999,0.2055596260376813,1
2026-01-06,IBM,NO,0-2,>0,NO,NO,297.3246067919557,302.05499999999995,4.730393208044234,1
2026-01-06,CSTM,YES,0-2,>0,NO,NO,19.69091665211663,21.779,2.0880833478833694,1
2026-01-06,ZTS,YES,0-2,<0,NO,NO,129.7179611377545,124.9414740244001,-4.776487113354392,0
2026-01-06,HTO,NO,0-2,>0,NO,NO,50.2017096554023,52.345000000000006,2.143290344597709,1
2026-01-06,LNTH,YES,0-2,<0,NO,NO,69.43612410914113,66.569,-2.8671241091411304,0
2026-01-06,CDE,NO,0-2,>0,NO,NO,18.7220829828098,21.220000000000002,2.497917017190204,1
2026-01-06,UTL,NO,0-2,<0,NO,NO,49.08379620958398,49.72,0.6362037904160189,1
2026-01-06,ALAB,NO,0-2,>0,NO,NO,168.09279868573515,172.6585,4.565701314264857,1
2026-01-06,SLGN,YES,0-2,<0,NO,NO,41.768828907477655,42.434999999999995,0.6661710925223403,1
2026-01-06,AMTM,YES,0-2,>0,NO,NO,31.585395311185536,33.903000000000006,2.3176046888144697,1
2026-01-06,TX,NO,0-2,>0,NO,NO,39.10992012031555,41.446999999999996,2.3370798796844454,1
2026-01-06,PRU,NO,0-2,>0,NO,NO,117.88150759511754,115.16399999999999,-2.717507595117553,0
2026-01-06,CWAN,YES,0-2,>0,NO,NO,24.185887525594833,24.178999999999995,-0.00688752559483774,0
2026-01-06,CHMI,NO,0-2,>0,NO,NO,2.5987421231409025,2.637,0.03825787685909754,1
2026-01-06,CCJ,YES,0-2,>0,NO,NO,100.50802876144824,111.41699999999999,10.908971238551743,1
2026-01-06,SBUX,NO,0-2,>0,NO,NO,86.82870525864669,91.178,4.3492947413533045,1
2026-01-06,TBLA,YES,0-2,>0,NO,NO,4.402576387676385,4.207000000000001,-0.1955763876763843,0
2026-01-06,CG,NO,0-2,>0,NO,NO,64.19686719258425,64.663,0.4661328074157467,1
2026-01-06,HLF,NO,0-2,>0,NO,NO,12.943434786749416,15.862,2.9185652132505844,1
2026-01-06,DBRG,YES,0-2,>0,NO,NO,15.33116514023587,15.356,0.024834859764130357,1
2026-01-06,FSLR,NO,0-2,>0,NO,NO,272.2456996714338,241.487,-30.75869967143379,0
2026-01-06,TXG,NO,0-2,>0,NO,NO,18.296532158219712,20.743000000000002,2.44646784178029,1
2026-01-06,DDL,YES,0-2,>0,NO,NO,2.8614725956730847,2.8360000000000003,-0.025472595673084353,0
2026-01-06,PACS,YES,0-2,>0,NO,NO,39.61356200695227,39.684,0.07043799304772591,1
