symbol,f10_over_c1_x,f10_over_prev_a1_x,f10_T,a1_prev,a1_T,f10_over_a1_T_x,sentiment_7d,sentiment7d_gt_0_2,ma20_T,f10_over_ma20_x,spy_trend_value,spy_trend_bin,rule_4a
MAX,1.006650204978869,1.0076504854731532,12.847543689782702,12.75,12.76,1.0068607907353215,,,12.580000000000002,1.0212673839254929,-0.005414264391699453,<0%,False
DVN,1.006519513670031,1.0074999899705064,36.67299963492643,36.4,37.06,0.989557464515014,0.17,False,34.45885402361988,1.064254766272519,-0.005414264391699453,<0%,False
NESR,1.0064756043772825,1.007449428240368,14.104291995365152,14.0,13.94,1.011785652465219,0.38,True,13.39375,1.0530502656362222,-0.005414264391699453,<0%,False
HRTG,1.0064099183545354,1.007373791755172,28.83103792003302,28.62,29.05,0.9924625790028576,-0.18,False,27.947499999999998,1.0316142023448616,-0.005414264391699453,<0%,False
CHMI,1.0058192530321473,1.0066937160534712,2.375797169886192,2.36,2.49,0.954135409592848,,,2.234858490566038,1.0630638046726877,-0.005414264391699453,<0%,False
UAL,1.005672641458757,1.0065249301397226,102.2528676528944,101.59,101.96,1.0028723779216793,0.22,True,95.37550000000002,1.0721083260679565,-0.005414264391699453,<0%,False
CTRA,1.005628597465403,1.006474226134943,26.56085482770115,26.39,26.84,0.9895996582601024,0.05,False,25.822114351496545,1.0286088298637632,-0.005414264391699453,<0%,False
SPNT,1.0051860688487135,1.0059648185989176,21.054843653275345,20.93,20.8,1.0122520987151609,,,19.9215,1.0568904777890893,-0.005414264391699453,<0%,False
AII,1.005095079142888,1.0058600860551838,21.11300320629831,20.99,21.14,0.9987229520481696,0.38,True,23.074999999999996,0.914973053360707,-0.005414264391699453,<0%,False
ITGR,1.0047463083362105,1.005458664224864,72.4332421707592,72.04,72.18,1.0035084811687336,-0.52,False,68.81450000000001,1.0525869136702177,-0.005414264391699453,<0%,False
SLVM,1.0039793935737915,1.0045761218191982,48.07901319026682,47.86,47.37,1.014967557320389,0.33,True,44.1039218685407,1.09013010982503,-0.005414264391699453,<0%,False
HQY,1.0038973922727972,1.0044817691570107,105.46054094379454,104.99,105.18,1.0026672460904595,0.2,False,99.75225000000002,1.0572246835915433,-0.005414264391699453,<0%,False
UPWK,1.0037056581191552,1.0042611642641532,19.66343359629212,19.58,19.74,0.9961212561444844,0.4,True,17.469500000000004,1.1255865134258058,-0.005414264391699453,<0%,False
CLS,1.0033691048243651,1.0038739643609171,333.52708591927114,332.24,344.41,0.9684012831197444,0.19,False,323.5235,1.0309207396658082,-0.005414264391699453,<0%,False
DHR,1.0030057502987637,1.0034559737071995,229.2495517531468,228.46,226.78,1.01088963644566,0.22,True,219.48405515088447,1.0444929659949513,-0.005414264391699453,<0%,False
AAPL,1.0032562918288563,1.003306983849421,278.46785336740686,277.55,278.85,0.9986295620132932,0.11,False,271.51401446104796,1.0256113442989754,-0.005414264391699453,<0%,False
TBLA,1.002602895847402,1.0029925967106212,4.112269646513547,4.1,4.08,1.0079092270866536,0.17,False,3.8922499999999993,1.0565276245137254,-0.005414264391699453,<0%,False
TWLO,1.0023170573830165,1.0026638493237623,127.34833550261108,127.01,129.69,0.9819441398921356,-0.02,False,126.83400000000002,1.0040551863270972,-0.005414264391699453,<0%,False
SBUX,1.0022988036663212,1.0026428563857035,86.92913564864051,86.7,87.11,0.9979237245854724,0.15,False,83.86273629976581,1.0365645039044984,-0.005414264391699453,<0%,False
PRU,1.0020906490578618,1.0024034734070717,108.22950302376152,107.97,108.25,0.9998106514897138,0.21,True,105.09937556495815,1.0297825504859328,-0.005414264391699453,<0%,False
PACS,1.002082438043908,1.0023940308418071,32.23699203187251,32.16,33.41,0.9648905127767888,0.65,True,17.9715,1.7937841600240665,-0.005414264391699453,<0%,False
NRDS,1.0019666176177873,1.002260841240046,15.094048269075094,15.06,15.01,1.005599484948374,,,13.616,1.108552311183541,-0.005414264391699453,<0%,False
ZBH,1.001600200019004,1.0018395036418313,97.72944358026064,97.55,97.52,1.0021476987311386,0.24,True,92.25612435460836,1.0593274350504285,-0.005414264391699453,<0%,False
XPO,1.0012972472468589,1.0014911780229725,141.94134466119584,141.73,142.06,0.9991647519442196,0.04,False,136.23899999999998,1.041855450063461,-0.005414264391699453,<0%,False
MRVL,1.0007149444797423,1.000821753001221,87.79208417326709,87.72,89.4,0.982014364354218,0.29,True,86.76894128242076,1.0117915797487507,-0.005414264391699453,<0%,False
W,1.0003438346502491,1.0003951796411517,112.5944774686116,112.55,110.8,1.0161956450235703,,,104.502,1.0774384936997532,-0.005414264391699453,<0%,False
UHS,1.000141000258467,1.0001620509870022,244.2195696100062,244.18,243.63,1.002419938472299,0.12,False,228.9402622584818,1.0667392760049934,-0.005414264391699453,<0%,False
AVGO,0.9997583126101754,0.9997222455954374,397.45957318137806,397.57,402.96,0.9863499433724888,0.24,True,358.5294866997953,1.1085826631441886,-0.005414264391699453,<0%,False
FSLR,0.9997480033237944,0.99971039829966,272.1311675211504,272.21,272.92,0.9971096567534457,-0.09,False,262.25125,1.0376734811412736,-0.005414264391699453,<0%,False
AMTM,0.999244621838688,0.9991319632964332,29.304540483484388,29.33,28.63,1.0235606176557592,0.02,False,23.836499999999997,1.2293977926073203,-0.005414264391699453,<0%,False
BIIB,0.9991431799362358,0.9990154070622304,181.7608631609022,181.94,182.09,0.9981924496727014,0.22,True,164.9015,1.1022389921310733,-0.005414264391699453,<0%,False
GOOGL,0.9986276430869052,0.9986063791410362,319.5041110061745,319.95,319.965819131654,0.9985570079743752,0.29,True,292.1449420571464,1.0936492987226745,-0.005414264391699453,<0%,False
