ticker,F10_T,C1_T,A1_T-1,f10_over_prev_a1_x
HTO,51.6928903112649,48.463256415586216,,
IBM,284.2161372041714,283.20393578435295,,
IDYA,31.314055888001775,25.788338881749663,,
IMCR,36.09605395152458,35.18002572214241,,
IMVT,22.757310717290203,16.718371868215034,,
IMXI,14.720489833494707,14.634963782280684,,
INSW,48.24597712734719,46.04661947745702,,
INTC,32.86117156870526,35.709675159770995,,
ITGR,114.99899045253251,105.98646884358838,,
JANX,37.52487345438961,23.065346577465533,,
KELYA,13.854346677036874,13.431002876982093,,
KINS,15.127479484452628,14.91,,
KNF,83.2800412691862,73.66094623133307,,
KO,68.91116970365549,65.74224434644799,,
KOP,34.451303967397344,28.115896641845467,,
KRO,6.095274638497802,6.035,,
LFST,6.06441215218806,5.235753585075727,,
LKQ,34.618828431294745,32.16888483406976,,
LNTH,56.11592792177902,55.15,,
LVO,4.929709724448818,0.4963454354647314,,
LW,58.438287646227835,56.87394460657612,,
MA,607.5190377136871,594.5524213389895,,
MANH,210.95386950207137,205.20550093094118,,
MATV,12.378770654434055,12.28,,
MAX,14.03059403818987,13.489204053310678,,
MCD,308.9892833447088,300.85060561892107,,
MD,16.604233147092902,16.552851814990863,,
MDB,322.19412564879923,314.72797645039856,,
MDLZ,64.64286368470341,61.36743685757974,,
MDXG,8.429844367549721,7.107810794271063,,
META,768.9976741639022,735.1879001544766,,
MNKD,5.665211028396374,5.493149108868092,,
MNMD,12.89829590006508,9.069967013534624,,
MPAA,15.368283519309216,14.5252875861153,,
MRVL,82.53048745258012,82.09487911311909,,
MSFT,534.3739685481182,505.67568850735205,,
MTDR,53.00386124823415,49.02387247823295,,
MU,136.00276170219522,119.42120098501444,,
NESR,9.477788606530055,9.332153868600725,,
NFLX,1248.2784935953398,1211.9418064299282,,
NKE,72.2956309820479,69.38624875365174,,
NRDS,11.801751361089506,10.861936213780426,,
NVDA,181.78808514944208,170.80770108711673,,
NX,20.342325518642564,20.1,,
PACS,17.164649926191647,11.00209022944211,,
PAR,49.29842716782274,39.923872461342256,,
PEP,143.60294356438786,140.59449971090535,,
PFE,27.55457191155696,27.23994375567883,,
PFGC,106.84456179266996,102.54268445875846,,
PG,156.81397188139871,152.21727200970636,,
PMTS,20.176096014348982,15.316831711598207,,
PRCT,42.831216964810075,34.8382838930469,,
PRU,105.53057979238424,102.05214540394256,,
QCOM,168.64547122267902,165.48184849197278,,
QUAD,6.897449842065999,6.0566556768084405,,
RARE,45.49960512531547,30.93399345675716,,
RCI,36.344252392819165,35.188668932201104,,
RCKT,4.419897620672688,3.2135313591000156,,
SBUX,89.71345359597466,86.81540170129388,,
SHOP,155.5685580387613,153.68159622172638,,
SLB,37.35899231758226,34.147524815857174,,
SLGN,47.00848641291408,42.66688676786376,,
SLP,15.849992857256236,15.518918029148555,,
SLVM,47.11288618434628,44.84928501173854,,
SMCI,46.863015190235075,45.870407125845084,,
SMP,42.47852728528119,41.14352983781747,,
SNDX,21.369647862732336,15.697249754108489,,
SNPS,490.0485958159394,487.76,,
SPB,59.96239266043396,53.658965996187185,,
SPGI,537.2170902445993,507.71793273556517,,
