symbol,f10_over_c1_x,f10_over_prev_a1_x,f10_T,a1_prev,sentiment_7d,sentiment7d_gt_0_2
UAL,1.0218631289468674,1.0108134241128237,116.0514892223933,114.81,0.16,False
BRZE,1.006612124989023,1.010418821548682,36.20330637608927,35.83,,
WELL,1.0136010056231908,1.0092779040800843,189.4414625958318,187.7,0.23,True
SHOP,1.008450346572208,1.0090587559184299,170.98500619037793,169.45,0.23,True
IMVT,1.0116590650359902,1.0088985826519383,27.119193901684103,26.88,-0.02,False
UTZ,1.0143308199793275,1.008625424488771,10.409014380724116,10.32,-0.24,False
XPO,1.0156307704499388,1.0083196109761678,142.3142298931763,141.14,-0.01,False
QUAD,1.0112409723482554,1.0082146366977365,6.482820113966445,6.43,,
HTO,1.006228180207892,1.0081839279975442,49.80428604307868,49.4,0.29,True
KRO,1.0127937693307867,1.00809941495897,4.627176314661671,4.59,-0.7,False
CVE,1.0045903119019999,1.0076644434708686,16.858226139267632,16.73,0.44,True
HAL,1.0016955307919988,1.0069535022528764,28.224906668148126,28.03,0.26,True
TX,0.9982581374968145,1.0061060788293368,38.393007968127485,38.16,0.14,False
ALK,1.0081306382512067,1.005426682662343,51.65882295519119,51.38,-0.05,False
SPB,1.0070363070748356,1.005399688025918,60.16311733147093,59.84,0.32,True
HBM,1.0011509278718758,1.0053564823768444,19.96637974000413,19.86,0.01,False
CHMI,1.0010115640261172,1.0047901384818139,2.773220782209806,2.76,,
LNTH,1.0057719167098802,1.0043747341704814,66.97170727448771,66.68,-0.24,False
TWLO,0.9994452129521301,1.0040633229227303,140.88012483928827,140.31,,
GOOGL,1.0031773024421087,1.0040572201359599,315.3643322725036,314.09,0.23,True
SLGN,1.0063712041583577,1.0036285184981435,40.9781524102792,40.83,0.15,False
XOM,1.0015060334384016,1.003411705617793,119.62674354375328,119.22,0.2,False
AAPL,1.0082103813756458,1.0029990342819362,274.6311655767369,273.81,0.11,False
LKQ,1.0102278589581188,1.0027448472712268,30.343059078427324,30.26,0.28,True
ASIX,1.0177199110425101,1.0025273735369076,17.15324336121649,17.11,0.28,True
SLVM,1.003346189899193,1.0020022943794957,49.05803233282011,48.96,0.29,True
LFST,1.0054394432419744,1.0019986921648478,7.10417072744877,7.09,-0.12,False
LW,1.0154165763723348,1.0014668929865729,42.54231361406961,42.48,-0.12,False
AVGO,1.003409779816289,1.0013408694308568,350.6895992920747,350.22,0.1,False
CG,1.0019227790735874,1.0010601634773928,61.054659370486185,60.99,0.0,False
QCOM,1.0006337810539978,1.0006139359305262,174.87729758257805,174.77,0.23,True
WMT,1.006783193307285,1.0004839049085854,111.6640086268472,111.61,0.09,False
DHR,1.0027011005282118,1.0003320261699313,231.54685409755402,231.47,0.17,False
MD,1.0143481641255658,1.0001333589104924,21.782904557070523,21.78,-0.04,False
AENT,1.008862278160087,0.9993773715817135,7.930059443500896,7.935,0.17,False
MDB,0.9958186184195953,0.9988993673659206,435.03066348153203,435.51,,
GE,1.002371008146315,0.998863779701972,316.39010222059966,316.75,0.23,True
DDL,0.9987633943433525,0.9985790666721442,2.7161350613482327,2.72,,
BA,1.003994048077902,0.9985606369441566,217.84598855573722,218.16,0.2,False
STZ,1.006293264636123,0.9982059325296314,140.23795146108793,140.49,0.14,False
ALAB,1.0042925077080338,0.9981962448634036,169.6634157394327,169.97,0.19,False
PRU,1.0005259056219913,0.9973724728209402,114.2490167616387,114.55,0.15,False
PACS,0.9981575644521172,0.9960109225717089,37.16116752115046,37.31,-0.17,False
ZTS,1.0101580769119045,0.9959713454124423,124.98444413580738,125.49,0.2,False
DOX,1.0075365205843294,0.9956521504565927,80.99630243964381,81.35,0.26,True
SBUX,1.0032797486729323,0.9953440952924997,84.17625013888669,84.57,0.16,False
SPNT,1.0030038075434196,0.9950399609090108,22.547605514198185,22.66,,
UPWK,1.0018967384150768,0.9950118117358191,20.865397692100125,20.97,-0.08,False
ZM,1.0016286892964679,0.9946826096210294,87.32318629863018,87.79,,
