symbol,f10_over_c1_x,f10_over_prev_a1_x,f10_T,a1_prev,a1_T,f10_over_a1_T_x,sentiment_7d,sentiment7d_gt_0_2,pct_above_sma200,bb_percent_b,f10_over_ma20_x,f1_over_prev_a1_x,rule2_ok,spy_trend_value,spy_trend_bin,persist_2of3_ok,rule_4a,stop_loss_pct
MD,1.0161268329989368,1.0488345471083091,21.67941008872875,20.67,20.995,1.0325987182057037,,,0.25070363073459023,0.30398607632550734,0.9948425595282975,1.0482024816693956,True,-0.0004060854809937453,<0,False,False,0.02564372760611411
DDI,1.028501262261494,1.0463022990104103,9.270238369232235,8.86,8.8,1.0534361783218449,0.34,True,-0.04276877133105805,0.7057830308146897,1.0442397487166697,1.0162343507715292,True,-0.0004060854809937453,<0,True,True,-0.03124217691724318
MATV,1.0117037753479143,1.0456350551424856,12.850854827701147,12.29,12.28,1.046486549487064,0.16,False,0.3212324556376407,0.5441595441595439,1.0197067905337154,1.0330909383191498,True,-0.0004060854809937453,<0,False,False,-0.04509943211009837
LKQ,1.0058592531845698,1.04383180665724,33.99760194282631,32.57,32.62,1.042231819216012,0.11,False,0.013070620951992629,0.7131125773701315,1.0388306202508741,1.0375262573747372,True,-0.0004060854809937453,<0,True,True,-0.09242639682064469
PG,1.0271787463005093,1.042748660163965,153.61773261535532,147.32,149.77,1.0256909435491441,0.15,False,-0.01618370888672571,0.8477532775562332,1.0656568094293868,1.0417010084523308,True,-0.0004060854809937453,<0,True,True,-0.07221398413172941
CRNX,1.0162125330453884,1.0424972376998853,53.500958238758116,51.32,51.88,1.0312443762289536,0.35,True,0.38885216075990225,0.49122506634705976,1.0164965551597793,1.0252496409668639,True,-0.0004060854809937453,<0,False,False,-0.13072131140083065
CAL,1.0090808151141903,1.0416676571013261,12.812512182346312,12.3,12.34,1.0382911006763624,0.08,False,-0.06889309894112294,0.340111995284409,0.9770102319922458,1.0319465570491009,True,-0.0004060854809937453,<0,False,False,-0.025714546923539583
CON,1.0075124330834546,1.0405448012453105,22.371713226774176,21.5,21.59,1.0362071897533198,0.38,True,0.06629488966876607,0.8552741732942654,1.0744267230224847,1.0324988326135836,True,-0.0004060854809937453,<0,True,True,-0.12878648628271394
KELYA,1.0198988578741766,1.0404322252621778,10.341896319106047,9.94,10.3,1.0040676037967036,,,-0.11553199307122997,0.6755293743034545,1.0695931656951128,1.0193812515575351,True,-0.0004060854809937453,<0,True,True,-0.1851447877882978
STZ,1.0145875124545367,1.0397242507711155,163.9437198615895,157.68,154.75,1.0594101445013862,0.17,False,0.03825909239895364,0.7641001033515432,1.0717797642686482,1.0391566227947822,True,-0.0004060854809937453,<0,True,True,-0.16203198583743317
BA,1.0099310747991517,1.0385557652286224,250.93584399453977,241.62,234.02,1.0722837535020073,0.2,False,0.1691736860385329,0.729035958481966,1.0485127744203595,1.0381679827074666,True,-0.0004060854809937453,<0,True,True,-0.12708588380329155
PRU,1.02444722730894,1.0370160113153204,111.68662441866002,107.7,109.87,1.016534307988168,0.06,False,0.042367085762382795,0.24845321420892977,0.9867006892594885,1.0360763326375404,True,-0.0004060854809937453,<0,False,False,-0.00902994860270634
SPB,1.0054469064872056,1.0365437760814333,64.93428485262139,62.645,63.785,1.0180181053950206,0.37,True,0.13801896874636266,0.7130088482325994,1.0289504518910075,1.0307205215361765,True,-0.0004060854809937453,<0,True,False,-0.06350675586805643
