symbol,f10_over_c1_x,f10_T,f10_date,a1_prev,a1_prev_date,f10_over_prev_a1_x,a1_T,a1_over_prev_pct
HAL,1.0151460653266633,25.496546086570056,20250930,25.01,20250929,1.019454061838067,24.6,-1.6393442622950838
MANH,0.9999237550640748,211.6089244218346,20250930,207.67,20250929,1.018967228881565,207.67,0.0
SBUX,1.0446381828982203,87.17513960095872,20250930,85.64,20250929,1.0179254974423018,85.64,0.0
XOM,1.016137859174558,119.14269027475754,20250930,117.22,20250929,1.0164024080767575,112.73,-3.8304043678553112
ADV,0.9991963146084308,1.5638138878747956,20250930,1.54,20250929,1.015463563555062,,
PACS,0.9985462423227788,14.041986912906143,20250930,13.83,20250929,1.0153280486555418,,
GE,1.008984132285862,297.6732724083745,20250930,293.56,20250929,1.0140116923571825,300.77,2.4560566834718633
WELL,1.0136967615899293,177.3347383374867,20250930,174.9,20250929,1.0139207452114734,178.02,1.7838765008576285
IBM,0.99734123571927,283.5419279059062,20250930,279.82,20250929,1.013301150403496,282.07,0.8040883425058931
HQY,0.9997358860938907,96.60738627164648,20250930,95.34,20250929,1.013293331987062,94.77,-0.5978602894902485
CCJ,0.9999810665253532,85.5849134140728,20250930,84.48,20250929,1.0130789940112783,83.87,-0.7220643939393923
SLB,0.9996929965207456,35.55310562530754,20250930,35.1,20250929,1.012908992174004,35.11,0.028490028490013586
SNDX,0.9986325877790166,15.745372375041663,20250930,15.56,20250929,1.0119133917121892,15.385,-1.124678663239076
DXCM,0.9994993158119346,67.20207318137807,20250930,66.46,20250929,1.011165711426092,67.29,1.2488715016551577
UPWK,1.0096728988692234,19.33825296423866,20250930,19.15,20250929,1.009830441996797,18.57,-3.0287206266318423
MRVL,0.999956407183224,83.18099526197997,20250930,82.39,20250929,1.0096006221869156,82.39,0.0
CTRA,0.9996170531559248,23.857712853764223,20250930,23.65,20250929,1.0087827845143436,23.64,-0.0422832980972454
CWT,0.9997875082082548,45.69945052459485,20250930,45.39,20250929,1.0068175925224687,45.91,1.1456267900418426
