symbol,name,actual1_T,consensus1_T,forecast1_T,forecast10_T,delta_f1_c1_pct,delta_f1_act_pct,delta_f10_c1_pct,delta_f10_act_pct
SLB,Schlumberger Limited,34.11,34.16,34.15,37.24,-0.0%,0.1%,9.0%,9.2%
CTRA,Coterra Energy Inc.,23.30,24.09,24.09,26.25,-0.0%,3.4%,9.0%,12.6%
DXCM,DexCom Inc.,67.05,74.41,74.38,81.04,-0.0%,10.9%,8.9%,20.9%
CON,CONCENTRA GROUP HOLDING,20.69,20.72,20.71,22.55,-0.0%,0.1%,8.9%,9.0%
STZ,Constellation Brands Inc.,142.22,132.67,132.64,143.77,-0.0%,-6.7%,8.4%,1.1%
ATR,AptarGroup Inc.,133.15,132.47,132.44,143.48,-0.0%,-0.5%,8.3%,7.8%
NRDS,NerdWallet Inc.,10.93,10.86,10.86,11.77,-0.0%,-0.6%,8.3%,7.7%
ITGR,Integer Holding Corporation,103.09,106.01,105.99,114.66,-0.0%,2.8%,8.2%,11.2%
ZTS,Zoetis Inc.,146.44,143.69,143.66,155.19,-0.0%,-1.9%,8.0%,6.0%
LKQ,LKQ Corporation,31.31,32.02,32.17,34.52,0.5%,2.7%,7.8%,10.3%
MTDR,MATADOR RESOURCES COMPANY,43.35,49.03,49.02,52.85,-0.0%,13.1%,7.8%,21.9%
CRM,Salesforce Inc.,238.88,256.87,256.84,276.22,-0.0%,7.5%,7.5%,15.6%
TXG,Torex Gold Resources Inc.,12.75,11.73,11.73,12.56,-0.0%,-8.0%,7.1%,-1.5%
TWLO,Twilio Inc.,102.93,102.49,102.48,109.65,-0.0%,-0.4%,7.0%,6.5%
SSTK,Shutterstock Inc.,22.37,21.07,21.07,22.53,-0.0%,-5.8%,6.9%,0.7%
DOX,Amdocs Limited,82.32,81.72,81.72,87.24,0.0%,-0.7%,6.8%,6.0%
FANG,DIAMONDBLACK ENERGY INC.,147.47,142.44,142.45,151.95,0.0%,-3.4%,6.7%,3.0%
DDL,Dingdong (Cayman) Limited,,2.11,2.11,2.25,0.0%,,6.6%,
ADBE,ADOBE INC.,346.74,360.74,360.77,383.92,0.0%,4.0%,6.4%,10.7%
HTO,H2O America,47.13,48.46,48.46,51.57,0.0%,2.8%,6.4%,9.4%
CHE,Chemed Corporation,443.54,460.01,462.25,489.40,0.5%,4.2%,6.4%,10.3%
NVDA,NVIDIA Corporation,188.89,170.79,170.81,181.37,0.0%,-9.6%,6.2%,-4.0%
MPAA,Motorcar Parts of America Inc.,15.99,14.45,14.53,15.33,0.5%,-9.2%,6.1%,-4.1%
CWT,CALIFORNIA WATER SERVICE GROUP INC.,45.38,44.65,44.66,47.34,0.0%,-1.6%,6.0%,4.3%
WSR,WISDOMTREE INC.,,12.09,12.09,12.80,0.0%,,5.8%,
HAL,Halliburton Company,24.31,21.62,21.62,22.87,0.0%,-11.0%,5.8%,-5.9%
TRVG,trivago N.V.,3.13,3.45,3.45,3.65,0.0%,10.3%,5.7%,16.6%
COP,CONOCO PHILLIPS,94.17,94.75,94.76,100.07,0.0%,0.6%,5.6%,6.3%
SPGI,S&P Global Inc.,479.77,507.62,507.72,536.09,0.0%,5.8%,5.6%,11.7%
AXON,Axon Enterprise Inc.,715.51,725.94,726.09,766.36,0.0%,1.5%,5.6%,7.1%
AVGO,Broadcom Inc.,338.18,302.66,302.72,319.45,0.0%,-10.5%,5.5%,-5.5%
MSFT,Microsoft Corporation,515.74,505.57,505.68,533.28,0.0%,-2.0%,5.5%,3.4%
DDOG,Datadog Inc.,151.82,132.71,132.75,139.82,0.0%,-12.6%,5.4%,-7.9%
TBLA,Taboola.com Ltd.,3.29,3.51,3.52,3.70,0.1%,6.9%,5.2%,12.3%
MDLZ,Mondelez International Inc.,61.78,61.35,61.37,64.52,0.0%,-0.7%,5.2%,4.4%
UAL,United Airlines Holdings Inc.,95.33,94.91,94.93,99.63,0.0%,-0.4%,5.0%,4.5%
CIVI,Civitas Resources Inc.,33.68,34.76,34.94,36.47,0.5%,3.7%,4.9%,8.3%
BIIB,Biogen Inc.,159.88,142.61,142.66,149.58,0.0%,-10.8%,4.9%,-6.4%
SLVM,Sylvamo Corporation,44.78,44.84,44.85,47.03,0.0%,0.2%,4.9%,5.0%
KO,COCA-COLA CO,66.10,65.72,65.74,68.79,0.0%,-0.5%,4.7%,4.1%
INSW,International Seaways Inc.,46.05,46.07,46.05,48.16,-0.1%,-0.0%,4.5%,4.6%
META,Meta Platforms Inc.,727.05,734.91,735.19,767.70,0.0%,1.1%,4.5%,5.6%
MAX,MediaAlpha Inc,11.18,13.42,13.49,14.01,0.5%,20.7%,4.4%,25.3%
AMZN,Amazon.com Inc.,222.41,226.15,226.24,236.03,0.0%,1.7%,4.4%,6.1%
HBM,Hudbay Minerals Inc.,15.45,14.16,14.18,14.77,0.1%,-8.2%,4.2%,-4.4%
DIS,WALT DISNEY CO,112.49,113.55,113.59,118.32,0.0%,1.0%,4.2%,5.2%
PFGC,Performance Food Group Company,102.43,102.50,102.54,106.68,0.0%,0.1%,4.1%,4.1%
NKE,NIKE INC.,74.57,69.36,69.39,72.18,0.0%,-7.0%,4.1%,-3.2%
CVNA,Carvana Co.,394.71,366.61,366.79,380.34,0.0%,-7.1%,3.7%,-3.6%
TMUS,T-MOBILE US INC.,230.27,237.61,237.73,246.21,0.1%,3.2%,3.6%,6.9%
BA,BOEING CO,217.43,221.39,221.50,229.39,0.1%,1.9%,3.6%,5.5%
AMTM,Amentum Holdings Inc.,25.95,24.83,24.84,25.67,0.1%,-4.3%,3.4%,-1.1%
PRU,Prudential Financial Inc.,101.94,101.99,102.05,105.40,0.1%,0.1%,3.3%,3.4%
SBUX,STARBUCKS CORPORATION,86.72,86.77,86.82,89.60,0.1%,0.1%,3.3%,3.3%
RCI,Rogers Communications Inc.,35.15,35.17,35.19,36.30,0.1%,0.1%,3.2%,3.3%
LW,Lamb Weston Holdings Inc.,62.14,56.57,56.87,58.37,0.5%,-8.5%,3.2%,-6.1%
ZBH,Zimmer Biomet Holdings Inc.,100.78,98.29,98.35,101.37,0.1%,-2.4%,3.1%,0.6%
SMP,Standard Motor Products Inc.,41.35,41.14,41.14,42.43,0.0%,-0.5%,3.1%,2.6%
TXN,TEXAS INSTRUMENTS INC.,182.32,182.41,182.52,188.08,0.1%,0.1%,3.1%,3.2%
PG,PROCTER & GAMBLE CO,152.05,152.12,152.22,156.64,0.1%,0.1%,3.0%,3.0%
NFLX,NETFLIX INC.,1162.53,1211.19,1211.94,1246.87,0.1%,4.3%,2.9%,7.3%
MDB,MongoDB,326.29,313.02,314.73,321.85,0.5%,-3.5%,2.8%,-1.4%
MANH,MANHATTAN ASSOCIATES INC.,201.36,205.07,205.21,210.73,0.1%,1.9%,2.8%,4.7%
WMT,WAL-MART STORES INC.,102.07,101.74,101.81,104.49,0.1%,-0.3%,2.7%,2.4%
MCD,MCDONALDS CORP.,299.88,300.65,300.85,308.67,0.1%,0.3%,2.7%,2.9%
AHL,Aspen Insurance Holdings Limited,36.72,36.69,36.89,37.66,0.5%,0.5%,2.7%,2.6%
XPO,XPO Inc.,128.54,126.10,126.19,129.41,0.1%,-1.8%,2.6%,0.7%
UBER,Uber Technologies Inc.,96.58,96.65,96.72,99.13,0.1%,0.1%,2.6%,2.6%
TCOM,Trip.com Group Limited,73.32,75.95,76.00,77.75,0.1%,3.7%,2.4%,6.0%
COUR,Coursera Inc.,10.24,11.17,11.18,11.43,0.1%,9.1%,2.4%,11.6%
XOM,EXXON MOBIL CORP.,,114.26,114.35,116.90,0.1%,,2.3%,
BABA,ALIBABA GROUP HOLDING LTD.,187.98,171.97,172.93,175.93,0.6%,-8.0%,2.3%,-6.4%
CVX,CHEVRON CORP.,153.37,155.35,155.46,158.92,0.1%,1.4%,2.3%,3.6%
ZM,Zoom Video Communications Inc.,80.96,84.54,84.60,86.47,0.1%,4.5%,2.3%,6.8%
MA,Mastercard Incorporated,577.33,593.81,594.55,607.00,0.1%,3.0%,2.2%,5.1%
SMCI,Super Micro Computer Inc.,51.96,45.84,45.87,46.82,0.1%,-11.7%,2.2%,-9.9%
PEP,PepsiCo Inc.,142.31,140.49,140.59,143.48,0.1%,-1.2%,2.1%,0.8%
QCOM,QUALCOMM INC.,168.85,165.35,165.48,168.52,0.1%,-2.0%,1.9%,-0.2%
PFE,Pfizer Inc.,27.08,27.09,27.24,27.54,0.6%,0.6%,1.7%,1.7%
SHOP,Shopify Inc.,151.30,153.33,153.68,155.48,0.2%,1.6%,1.4%,2.8%
AAPL,Apple Inc.,258.02,238.49,239.88,239.65,0.6%,-7.0%,0.5%,-7.1%
TX,Ternium S.A.,36.19,34.48,34.52,34.53,0.1%,-4.6%,0.2%,-4.6%
ALAB,Astera Labs,200.74,244.95,244.37,245.01,-0.2%,21.7%,0.0%,22.1%
CVE,Cenovus Energy Inc.,16.98,16.98,16.94,16.98,-0.3%,-0.2%,0.0%,0.1%
HLF,High Liner Foods Incorporated,8.66,9.95,9.95,9.95,0.0%,14.9%,0.0%,14.9%
UNH,UNITEDHEALTH GROUP INC.,360.17,353.68,353.12,353.69,-0.2%,-2.0%,0.0%,-1.8%
IBM,INTERNATIONAL BUSINESS MACHINES CORP.,288.42,284.30,283.20,284.30,-0.4%,-1.8%,0.0%,-1.4%
MD,Pediatrix Medical Group Inc.,17.04,16.60,16.55,16.60,-0.3%,-2.9%,0.0%,-2.6%
GE,GENERAL ELECTRIC CO,297.10,295.02,293.90,295.01,-0.4%,-1.1%,-0.0%,-0.7%
MRVL,Marvell Technology Inc.,86.20,82.41,82.09,82.40,-0.4%,-4.8%,-0.0%,-4.4%
WELL,WELL Health Technologies Corp.,175.08,175.54,174.96,175.53,-0.3%,-0.1%,-0.0%,0.3%
UHS,Universal Health Services Inc.,207.26,205.59,204.94,205.58,-0.3%,-1.1%,-0.0%,-0.8%
CG,Centerra Gold Inc.,63.48,63.40,63.20,63.39,-0.3%,-0.4%,-0.0%,-0.1%
IMXI,International Money Express Inc.,14.02,14.69,14.63,14.68,-0.3%,4.4%,-0.0%,4.7%
FSLR,First Solar Inc.,230.13,201.57,201.49,201.55,-0.0%,-12.4%,-0.0%,-12.4%
CDE,Coeur Mining Inc.,18.73,13.67,13.61,13.66,-0.4%,-27.3%,-0.0%,-27.0%
UPWK,Upwork Inc.,17.27,17.72,17.71,17.72,-0.0%,2.5%,-0.0%,2.6%
CVS,CVS Health Corporation,77.45,73.36,73.22,73.35,-0.2%,-5.5%,-0.0%,-5.3%
CCJ,Cameco Corp,84.19,77.22,77.18,77.21,-0.1%,-8.3%,-0.0%,-8.3%
SNPS,SYNOPSYS INC.,469.17,488.06,487.76,487.98,-0.1%,4.0%,-0.0%,4.0%
ASML,ASML Holding N.V.,1032.22,737.31,735.81,737.19,-0.2%,-28.7%,-0.0%,-28.6%
WDAY,Workday Inc.,236.48,240.89,240.73,240.85,-0.1%,1.8%,-0.0%,1.8%
CLS,CELESTICA INC.,233.73,200.77,200.63,200.74,-0.1%,-14.2%,-0.0%,-14.1%
EFX,Enerflex Ltd.,236.68,237.74,237.57,237.70,-0.1%,0.4%,-0.0%,0.4%
DHR,Danaher Corporation,214.78,199.62,199.44,199.57,-0.1%,-7.1%,-0.0%,-7.1%
ALK,Alaska Air Group Inc,49.19,57.30,57.25,57.29,-0.1%,16.4%,-0.0%,16.5%
CSTM,Constellium SE,15.45,14.95,14.94,14.95,-0.1%,-3.3%,-0.0%,-3.2%
MATV,Mativ Holdings Inc.,11.05,12.29,12.28,12.29,-0.1%,11.1%,-0.0%,11.2%
UTL,Unitil Corporation,46.85,46.73,46.68,46.72,-0.1%,-0.4%,-0.0%,-0.3%
CAL,Caleres Inc.,14.31,14.98,14.91,14.97,-0.4%,4.2%,-0.0%,4.6%
HQY,HealthEquity Inc.,88.59,95.65,95.54,95.62,-0.1%,7.8%,-0.0%,7.9%
BILL,BILL Holdings Inc.,53.37,46.19,46.14,46.18,-0.1%,-13.5%,-0.0%,-13.5%
DVN,Devon Energy Corporation,34.57,35.12,34.99,35.11,-0.4%,1.2%,-0.0%,1.6%
HRTG,Heritage Insurance Holdings Inc.,23.37,24.11,24.08,24.10,-0.1%,3.0%,-0.0%,3.1%
KRO,Kronos Worldwide Inc.,5.71,6.04,6.04,6.04,-0.1%,5.7%,-0.0%,5.8%
CHMI,Cherry Hill Mortgage Investment Corporation,2.45,2.88,2.88,2.88,-0.2%,17.6%,-0.0%,17.7%
NX,Quanex Building Products Corporation,14.75,20.13,20.10,20.12,-0.2%,36.3%,-0.0%,36.4%
NESR,National Energy Services Reunited Corp.,10.16,9.38,9.33,9.37,-0.5%,-8.1%,-0.0%,-7.8%
AHCO,AdaptHealth Corp,9.09,9.17,9.15,9.16,-0.2%,0.7%,-0.0%,0.8%
DAR,DARLING INGREDIENTS INC.,31.47,31.96,31.90,31.94,-0.2%,1.4%,-0.0%,1.5%
DBRG,DIGITALBRIDGE GROUP INC.,11.78,11.28,11.22,11.27,-0.5%,-4.8%,-0.0%,-4.3%
KINS,Kingstone Companies Inc.,14.80,14.94,14.91,14.93,-0.2%,0.7%,-0.0%,0.9%
ARCO,Arcos Dorados Holdings Inc.,6.64,6.84,6.83,6.84,-0.2%,2.7%,-0.1%,2.9%
LNTH,lantea holdings inc,52.69,55.28,55.15,55.24,-0.2%,4.7%,-0.1%,4.8%
ENOV,enovix corporation,32.06,30.74,30.57,30.72,-0.6%,-4.7%,-0.1%,-4.2%
SLP,Simulations Plus Inc.,15.55,15.59,15.52,15.58,-0.4%,-0.2%,-0.1%,0.2%
AMRK,A-Mark Precious Metals Inc.,26.69,23.91,23.78,23.90,-0.5%,-10.9%,-0.1%,-10.5%
IMCR,Immunocore Holdings plc,35.29,35.38,35.18,35.35,-0.6%,-0.3%,-0.1%,0.2%
TEAD,Teads Holding Co.,1.63,1.70,1.69,1.69,-0.3%,3.7%,-0.1%,3.9%
MNKD,MANNKIND CORPORATION,5.49,5.53,5.49,5.53,-0.7%,0.1%,-0.1%,0.6%
KELYA,Kelly Services Inc.,12.96,13.52,13.43,13.51,-0.7%,3.6%,-0.1%,4.2%
CRNX,CRINETICS PHARMACEUTICALS INC.,40.86,34.83,34.55,34.79,-0.8%,-15.4%,-0.1%,-14.9%
CLDX,Celldex Therapeutics Inc.,25.85,23.74,23.61,23.71,-0.5%,-8.7%,-0.1%,-8.3%
BHVN,Biohaven Pharmaceutical Holding Co Ltd.,15.81,16.33,16.20,16.29,-0.8%,2.4%,-0.2%,3.0%
GDEV,GDEV Inc.,35.01,15.55,15.33,15.49,-1.4%,-56.2%,-0.3%,-55.7%
W,Wayfair Inc.,88.57,86.34,86.44,85.41,0.1%,-2.4%,-1.1%,-3.6%
GOOGL,Alphabet Inc.,245.69,254.66,256.22,250.86,0.6%,4.3%,-1.5%,2.1%
TSLA,Tesla Inc.,429.83,440.00,443.00,415.50,0.7%,3.1%,-5.6%,-3.3%
INTC,INTEL CORP.,37.30,35.46,35.71,32.96,0.7%,-4.3%,-7.0%,-11.6%
ERIE,Erie Indemnity Company,314.61,315.19,316.34,265.54,0.4%,0.5%,-15.8%,-15.6%
