symbol,f10_over_c1_x,f10_over_prev_a1_x,f10_T,a1_prev,pct_above_sma200,bb_percent_b,f10_over_ma20_x
BWMX,1.0057477043417666,1.006611,19.56852454722941,19.440000,,,
CAL,1.0091937443803634,1.010581,12.773739146997666,12.640000,,,
CBZ,1.2252247520837303,1.229521,52.96778400342851,43.080000,,,
CCJ,0.9976602172938134,0.997312,121.5424004380883,121.870000,,,
CDE,0.9966944789287479,0.996203,25.672149569054458,25.770000,,,
CG,1.0030464596082913,1.003503,62.56839970794115,62.350000,,,
CHA,1.0314492442754404,1.036314,12.85029602704719,12.400000,,,
CHE,1.0638836746302363,1.064939,473.62109061760924,444.740000,,,
CHMI,1.0016246460053595,1.001868,2.7150612291868383,2.710000,,,
CIVI,1.087418542979682,1.088896,29.67240277932096,27.250000,,,
CLDX,1.2525249379227508,1.257452,33.76258317328296,26.850000,,,
CLS,1.0755574638845333,1.076820,313.2792079887621,290.930000,,,
CMPS,1.036077673167898,1.041688,7.427232186790686,7.130000,,,
CON,1.0082192339683134,1.009458,21.93551657910192,21.730000,,,
COP,1.0042509591034128,1.004889,97.35360835542292,96.880000,,,
COUR,1.1963361058203668,1.199992,7.775946373867082,6.480000,,,
CPRX,1.1091389157588434,1.111020,27.164447032586782,24.450000,,,
CRM,1.1141275623616067,1.116104,254.5721556800686,228.090000,,,
CRNT,1.0273761418927936,1.031592,2.4139246202441234,2.340000,,,
CRNX,1.0143222004184103,1.016495,55.85642013618831,54.950000,,,
CRTO,1.2029461539392396,1.206746,24.062517539404137,19.940000,,,
CSTM,1.001855069186781,1.002133,22.918771844891353,22.870000,,,
CTRA,1.0447718062316207,1.045498,28.52118807637974,27.280000,,,
CVE,1.0002317016119358,1.000266,18.434907858605417,18.430000,,,
CVNA,1.0015133736994688,1.001537,479.1853257091157,478.450000,,,
CVS,1.0381140255092924,1.038728,85.88205663402168,82.680000,,,
CWAN,1.0275785192508649,1.028018,24.970567411628387,24.290000,,,
CWT,1.0047345657835687,1.005445,45.255086189108106,45.010000,,,
DAR,1.0033408963523751,1.003842,42.482572816304504,42.320000,,,
DAVA,1.0140180020658107,1.016144,6.950426818621926,6.840000,,,
DBRG,1.0010938183252478,1.001257,15.389324693258837,15.370000,,,
DDI,1.0290879366479406,1.033576,9.178152410279203,8.880000,,,
DDL,0.9976685082200779,0.997321,2.8323928191616004,2.840000,,,
DDOG,1.133146804638033,1.135493,149.03340899350803,131.250000,,,
DHR,1.0245574534999664,1.024948,246.06951472992492,240.080000,,,
DIS,1.0436537001229984,1.044361,118.2321181409819,113.210000,,,
DOX,1.0062053413917331,1.007138,83.74354415009286,83.150000,,,
DUOL,1.1727757939144916,1.175928,180.7401688068443,153.700000,,,
DVN,1.004445390303418,1.005112,38.174167156076884,37.980000,,,
DXCM,1.0384647008518577,1.039085,76.80915207695115,73.920000,,,
EEFT,1.1109077857838865,1.112823,82.81627228139237,74.420000,,,
EFX,1.0060623567802596,1.006974,215.5729092395359,214.080000,,,
ENOV,1.2378981029337508,1.242484,29.26050816653704,23.550000,,,
ERIE,0.846346569218037,0.844334,240.9305905858637,285.350000,,,
EVH,1.3551030200993832,1.362611,5.2324252789638255,3.840000,,,
FANG,1.0477844203751931,1.048562,159.22411739496198,151.850000,,,
FINV,1.2876998296963063,1.293474,6.700194639767622,5.180000,,,
FLOC,1.0073000271619261,1.008399,21.176376168632245,21.000000,,,
FSLR,1.0431766766241706,1.043876,250.19620065554514,239.680000,,,
GDEV,1.0638326386465686,1.074067,22.01836875605149,20.500000,,,
GDYN,1.1077794584374367,1.109635,9.764789050967446,8.800000,,,
GE,1.0520256487319093,1.052876,310.5982921699656,295.000000,,,
GOOGL,1.0083963187878737,1.008528,333.3587485516103,330.540000,,,
GPCR,1.0038500783943118,1.004427,92.27673878192411,91.870000,,,
HAL,0.9989339158552036,0.998917,33.68349446834177,33.720000,,,
HBM,1.003087139418015,1.003550,24.195580784431993,24.110000,,,
HLF,0.9953646370038789,0.994676,16.849818098125425,16.940000,,,
HQY,1.0970114759181548,1.098665,94.94664918017175,86.420000,,,
HRTG,1.095033000629385,1.096650,28.40323645656418,25.900000,,,
HTO,1.0042713380915231,1.004912,52.83827605911017,52.580000,,,
IBM,1.000844968207175,1.000971,294.9561895049285,294.670000,,,
IDYA,1.0956853278906429,1.097314,39.72278380501897,36.200000,,,
IMCR,1.228833360440507,1.233212,43.19941647751623,35.030000,,,
IMVT,1.1382876798565074,1.140735,29.864451159505403,26.180000,,,
IMXI,1.0082818302733552,1.008411,15.630376898779383,15.500000,,,
INSW,1.0018483567569103,1.002125,56.41962905350708,56.300000,,,
ITGR,1.0000900523877856,1.000091,85.54782261392677,85.540000,,,
JANX,1.8113527017485138,1.834447,27.773521491722363,15.140000,,,
KELYA,1.018736014614731,1.021593,10.59392104887224,10.370000,,,
KINS,1.1001603466489118,1.101873,17.034952937254964,15.460000,,,
KNF,1.0073575918147208,1.008465,76.59292947730988,75.950000,,,
KO,1.0027321368169284,1.003141,72.09576149584927,71.870000,,,
KOP,1.0208248999954328,1.024008,30.157038380343167,29.450000,,,
KRO,0.9958656961604758,0.995802,5.566532158219711,5.590000,,,
LFST,1.0529131025038603,1.053778,7.76634577228933,7.370000,,,
LKQ,1.0055258798992746,1.006356,34.336866002126946,34.120000,,,
LNTH,1.0636517426916805,1.064703,71.52676580530468,67.180000,,,
LVO,1.345368372596758,1.352617,6.181458468913192,4.570000,,,
LW,1.0063654320881845,1.007323,44.432998444469135,44.110000,,,
MA,1.063654858145451,1.064706,567.339474651196,532.860000,,,
MANH,1.0764121944944707,1.077690,183.42282507420518,170.200000,,,
MATV,1.0107613605853492,1.012388,13.161039110490309,13.000000,,,
MAX,1.1092347707335823,1.111118,12.411188076379739,11.170000,,,
MD,1.0053176196360176,1.005401,22.329946746877038,22.210000,,,
MDB,1.0279784403665002,1.028425,416.1418500103173,404.640000,,,
MDLZ,1.0431822099078818,1.043882,60.106704298344475,57.580000,,,
MDXG,1.2632698051133682,1.268451,6.875006190377931,5.420000,,,
META,1.073865942605879,1.075098,696.2657983206616,647.630000,,,
MNKD,1.1530026008117316,1.155746,6.830460905382455,5.910000,,,
MPAA,1.1361575251505394,1.138563,14.869631355057855,13.060000,,,
MRVL,1.1043000644632759,1.106090,91.91608589546198,83.100000,,,
