symbol,f10_over_c1_x,f10_over_prev_a1_x,f10_T,a1_prev,sentiment_7d,sentiment7d_gt_0_2,spy_trend_bin,rule_4a
WMT,1.01307227292091,1.0132777967016262,119.39452278535262,117.83,0.22,True,<0,True
MATV,1.0107613605853492,1.0123876238838698,13.161039110490309,13.0,0.16,False,<0,False
UTZ,1.0103704405722178,1.011936930123789,10.635457135601023,10.51,-0.22,False,<0,True
TNC,1.0103494154422852,1.0119126916326473,80.17384255805464,79.23,0.43,True,<0,True
XPO,1.0111201924336455,1.0112946832097647,151.2896846081808,149.6,0.15,False,<0,True
CAL,1.0091937443803634,1.0105806287181698,12.773739146997666,12.64,0.08,False,<0,False
TEAD,1.0083534354872123,1.0096123511233661,0.768718844145331,0.7614,,,<0,False
W,1.009462842078853,1.009611079601349,111.20866041808861,110.15,0.18,False,<0,False
CON,1.0082192339683134,1.009457734887341,21.93551657910192,21.73,0.38,True,<0,True
GOOGL,1.0083963187878737,1.0085277078465853,333.3587485516103,330.54,0.28,True,<0,False
KNF,1.0073575918147208,1.0084651675748502,76.59292947730988,75.95,0.74,True,<0,False
IMXI,1.0082818302733552,1.0084114128244763,15.630376898779383,15.5,0.31,True,<0,False
FLOC,1.0073000271619261,1.008398865172964,21.176376168632245,21.0,0.22,True,<0,True
LW,1.0063654320881845,1.0073225673196358,44.432998444469135,44.11,0.17,False,<0,True
DOX,1.0062053413917331,1.0071382339157289,83.74354415009286,83.15,0.27,True,<0,False
EFX,1.0060623567802596,1.0069736044447677,215.5729092395359,214.08,0.03,False,<0,False
BA,1.0067706316113199,1.0068764077714276,253.13879767781464,251.41,0.2,False,<0,True
BWMX,1.0057477043417666,1.0066113450220888,19.56852454722941,19.44,0.32,True,<0,True
ARCO,1.0055501804614713,1.0063839531352214,7.930305550705544,7.88,0.34,True,<0,False
LKQ,1.0055258798992746,1.0063559789603442,34.336866002126946,34.12,0.11,False,<0,True
SPB,1.0050976654910917,1.0058630629990777,65.62250623005983,65.24,0.37,True,<0,True
CWT,1.0047345657835687,1.0054451497246857,45.255086189108106,45.01,0.01,False,<0,False
MD,1.0053176196360176,1.0054005739251255,22.329946746877038,22.21,,,<0,False
UTL,1.0046380731825548,1.0053340982156984,50.528091776321006,50.26,,,<0,False
DVN,1.004445390303418,1.005112352713978,38.174167156076884,37.98,0.04,False,<0,True
HTO,1.0042713380915231,1.0049120589408553,52.83827605911017,52.58,0.28,True,<0,True
COP,1.0042509591034128,1.0048886081278172,97.35360835542292,96.88,0.18,False,<0,False
GPCR,1.0038500783943118,1.0044273297259618,92.27673878192411,91.87,0.16,False,<0,True
SPGI,1.0038272760335003,1.0044010935646268,542.1757103061855,539.8,0.18,False,<0,False
SLGN,1.0036094977962493,1.0041505291727941,43.33913683909779,43.16,0.19,False,<0,True
DAR,1.0033408963523751,1.0038415126726017,42.482572816304504,42.32,0.34,True,<0,True
SLP,1.0032880596490612,1.0037807288245886,20.848525737686703,20.77,-0.33,False,<0,True
HBM,1.003087139418015,1.0035495970316048,24.195580784431993,24.11,0.34,True,<0,True
CG,1.0030464596082913,1.0035028020519832,62.56839970794115,62.35,-0.03,False,<0,False
KO,1.0027321368169284,1.00314124802907,72.09576149584927,71.87,0.18,False,<0,False
NESR,1.0027077462685783,1.003113193891497,20.16257519721909,20.1,0.45,True,<0,True
CSTM,1.001855069186781,1.0021325686441342,22.918771844891353,22.87,0.23,True,<0,True
INSW,1.0018483567569103,1.0021248499734827,56.41962905350708,56.3,0.26,True,<0,True
