symbol,forecast1_T,forecast10_T,consensus1_T,actual1_T
CRTO,23.21551159424591,26.7910099442866,23.21551159424591,20.05
CSTM,14.94,15.053187489087474,14.94,15.32
CTRA,24.08646869157208,26.33638065268805,24.08646869157208,23.21
CVE,16.937596269985658,16.93601355534039,16.937596269985658,17.24
CVNA,366.7930699877429,380.8774809923652,366.7930699877429,345.91
CVS,73.22075923305005,73.60158838748592,73.22075923305005,79.66
CVX,155.46083637216245,159.0578923747242,155.46083637216245,152.39
CWAN,17.779537986796353,21.095041070776656,17.779537986796353,17.9
CWT,44.659075990483394,47.44960885541499,44.659075990483394,46.77
DAR,31.9,32.332505039602545,31.9,31.55
DAVA,9.180088025840233,11.33686405771337,9.180088025840233,8.58
DBRG,11.215396657879465,11.41588573990889,11.215396657879465,13.48
DDI,9.694863973492636,12.175413842637418,9.694863973492636,8.86
DDL,2.1123212360439356,2.256543634228028,2.1123212360439356,1.81
DDOG,132.7458748338511,140.10449429374137,132.7458748338511,160.88
DHR,199.44,200.79303526928143,199.44,206.15
DIS,113.59482969379401,118.50776336883541,113.59482969379401,111.17
DOX,81.71980213187983,87.46306245138965,81.71980213187983,83.66
DUOL,282.8257981047168,326.64106139188266,282.8257981047168,332.6
DVN,34.98576517468694,35.40330518563197,34.98576517468694,32.71
DXCM,74.38173831187886,81.30645454040412,74.38173831187886,66.21
EEFT,90.739714139821,100.30614327550356,90.739714139821,87.71
EFX,237.57,238.90217687020842,237.57,228.33
ENOV,30.56567265985068,31.24796157997492,30.56567265985068,31.06
ERIE,316.33762434953707,263.58109422866306,316.33762434953707,321.14
EVH,8.779647981092566,10.514442905668163,8.779647981092566,7.71
FANG,142.44653491786332,152.3290212060126,142.44653491786332,141.83
FI,129.70253049376888,143.7319688973191,129.70253049376888,124.12
FINV,8.048844899428076,8.916132759797462,8.048844899428076,6.6
FLOC,16.08285916297574,20.648810058570497,16.08285916297574,14.75
FSLR,201.49,202.1353834066126,201.49,224.43
GDEV,15.33,17.006953937239093,15.33,24.7553
GDYN,7.998789893834619,9.348527285281188,7.998789893834619,7.79
GE,293.89517026972027,295.3091332677259,293.89517026972027,300.08
GOOGL,256.22446356892584,250.70699905557055,256.22446356892584,245.45
GPCR,19.82641401124187,33.660328169394134,19.82641401124187,30.13
HAL,21.62376241637394,22.916806677671783,21.62376241637394,22.44
HBM,14.176488791676238,14.789935497055602,14.176488791676238,17.03
HLF,9.95,9.930982047904001,9.95,8.72
HQY,95.54,96.36267979873335,95.54,94.04
HRTG,24.08,24.307601942826302,24.08,27.83
HTO,48.463256415586216,51.6928903112649,48.463256415586216,47.84
IBM,283.20393578435295,284.2161372041714,283.20393578435295,276.15
IDYA,25.788338881749663,31.314055888001775,25.788338881749663,27.07
IMCR,35.18002572214241,36.09605395152458,35.18002572214241,31.72
IMVT,16.718371868215034,22.757310717290203,16.718371868215034,17.49
IMXI,14.634963782280684,14.720489833494707,14.634963782280684,14.99
INSW,46.04661947745702,48.24597712734719,46.04661947745702,43.29
INTC,35.709675159770995,32.86117156870526,35.709675159770995,35.63
ITGR,105.98646884358838,114.99899045253251,105.98646884358838,103.97
JANX,23.065346577465533,37.52487345438961,23.065346577465533,25.73
KELYA,13.431002876982093,13.854346677036874,13.431002876982093,12.36
KINS,14.91,15.127479484452628,14.91,14.98
KNF,73.66094623133307,83.2800412691862,73.66094623133307,70.52
KO,65.74224434644799,68.91116970365549,65.74224434644799,67.51
KOP,28.115896641845467,34.451303967397344,28.115896641845467,26.69
KRO,6.035,6.095274638497802,6.035,5.34
LFST,5.235753585075727,6.06441215218806,5.235753585075727,5.09
LKQ,32.16888483406976,34.618828431294745,32.16888483406976,29.83
LNTH,55.15,56.11592792177902,55.15,55.07
LVO,0.4963454354647314,4.929709724448818,0.4963454354647314,4.46
LW,56.87394460657612,58.438287646227835,56.87394460657612,64.16
MA,594.5524213389895,607.5190377136871,594.5524213389895,567.92
MANH,205.20550093094118,210.95386950207137,205.20550093094118,200.53
MATV,12.28,12.378770654434055,12.28,11.15
MAX,13.489204053310678,14.03059403818987,13.489204053310678,11.21
MCD,300.85060561892107,308.9892833447088,300.85060561892107,304.56
MD,16.552851814990863,16.604233147092902,16.552851814990863,16.09
MDB,314.72797645039856,322.19412564879923,314.72797645039856,313.81
MDLZ,61.36743685757974,64.64286368470341,61.36743685757974,62.13
MDXG,7.107810794271063,8.429844367549721,7.107810794271063,6.58
META,735.1879001544766,768.9976741639022,735.1879001544766,708.65
MNKD,5.493149108868092,5.665211028396374,5.493149108868092,5.1
MNMD,9.069967013534624,12.89829590006508,9.069967013534624,12.62
MPAA,14.5252875861153,15.368283519309216,14.5252875861153,15.83
MRVL,82.09487911311909,82.53048745258012,82.09487911311909,86.22
MSFT,505.67568850735205,534.3739685481182,505.67568850735205,513.57
MTDR,49.02387247823295,53.00386124823415,49.02387247823295,42.93
MU,119.42120098501444,136.00276170219522,119.42120098501444,187.06
NESR,9.332153868600725,9.477788606530055,9.332153868600725,10.45
NFLX,1211.9418064299282,1248.2784935953398,1211.9418064299282,1215.35
NKE,69.38624875365174,72.2956309820479,69.38624875365174,67.64
NRDS,10.861936213780426,11.801751361089506,10.861936213780426,10.65
NVDA,170.80770108711673,181.78808514944208,170.80770108711673,180.03
NX,20.1,20.342325518642564,20.1,14.22
PACS,11.00209022944211,17.164649926191647,11.00209022944211,12.8
PAR,39.923872461342256,49.29842716782274,39.923872461342256,36.81
PEP,140.59449971090535,143.60294356438786,140.59449971090535,151.54
PFE,27.23994375567883,27.55457191155696,27.23994375567883,24.52
PFGC,102.54268445875846,106.84456179266996,102.54268445875846,103.52
PG,152.21727200970636,156.81397188139871,152.21727200970636,149.16
PMTS,15.316831711598207,20.176096014348982,15.316831711598207,15.47
PRCT,34.8382838930469,42.831216964810075,34.8382838930469,33.92
PRU,102.05214540394256,105.53057979238424,102.05214540394256,103.7
QCOM,165.48184849197278,168.64547122267902,165.48184849197278,161.74
QUAD,6.0566556768084405,6.897449842065999,6.0566556768084405,5.74
RARE,30.93399345675716,45.49960512531547,30.93399345675716,31.69
RCI,35.188668932201104,36.344252392819165,35.188668932201104,36.77
RCKT,3.2135313591000156,4.419897620672688,3.2135313591000156,4.27
SBUX,86.81540170129388,89.71345359597466,86.81540170129388,81.15
SHOP,153.68159622172638,155.5685580387613,153.68159622172638,152.88
SLB,34.147524815857174,37.35899231758226,34.147524815857174,32.57
SLGN,42.66688676786376,47.00848641291408,42.66688676786376,43.42
SLP,15.518918029148555,15.849992857256236,15.518918029148555,15.26
SLVM,44.84928501173854,47.11288618434628,44.84928501173854,42.57
SMCI,45.870407125845084,46.863015190235075,45.870407125845084,53.11
SMP,41.14352983781747,42.47852728528119,41.14352983781747,38.89
SNDX,15.697249754108489,21.369647862732336,15.697249754108489,15.31
SNPS,487.76,490.0485958159394,487.76,443.76
SPB,53.658965996187185,59.96239266043396,53.658965996187185,51.08
SPGI,507.71793273556517,537.2170902445993,507.71793273556517,486.69
SPNT,17.609350967778592,19.608234393104873,17.609350967778592,19.2
SPRY,9.810781096317806,15.414029261440295,9.810781096317806,10.66
SSTK,21.0731573548459,22.58323232964556,21.0731573548459,24.9
STZ,132.63575382154553,144.20827566229107,132.63575382154553,141.24
TBLA,3.5158081667187564,3.7029578101934892,3.5158081667187564,3.08
TCOM,76.00352049310692,77.82089518420342,76.00352049310692,70.16
TEAD,1.69,1.730796574657545,1.69,1.55
TMUS,237.73124356557034,246.55205476897194,237.73124356557034,229.42
TNC,80.65863601329852,88.50473805971333,80.65863601329852,79.49
TRVG,3.4537953859486152,3.6575600228567806,3.4537953859486152,3.133
TSLA,443.00115324966606,414.52800820621894,443.00115324966606,429.24
TWLO,102.48261845204631,109.92925259122872,102.48261845204631,108.1
TX,34.51793185724876,34.534758297487336,34.51793185724876,36.28
TXG,11.7328933111066,12.593525221821876,11.7328933111066,11.54
TXN,182.52057239598594,188.30429965397374,182.52057239598594,173.94
TXO,14.084346398665083,16.04433639942223,14.084346398665083,13.12
UAL,94.9343236085528,99.81561260932367,94.9343236085528,103.15
UBER,96.71628180767992,99.22275305153886,96.71628180767992,94.25
UHS,204.93940936535597,205.91453095982604,204.93940936535597,203.81
UPWK,17.71,17.777176314661673,17.71,16.94
W,86.44499465990229,85.37738833510579,86.44499465990229,79.2
WDAY,240.73,241.99990841415215,240.73,237.18
WELL,174.96086986502632,175.81747710353804,174.96086986502632,169.34
WMT,101.81188137709397,104.5995822288535,101.81188137709397,107.21
WSR,12.093289351379498,12.82314832304249,12.093289351379498,11.87
XOM,114.34565477769588,116.99963548197648,114.34565477769588,112.29
XPO,126.18866910110809,129.53627827336075,126.18866910110809,129.42
ZBH,98.34807499002665,101.49159985555784,98.34807499002665,98.37
ZM,84.60297045406304,86.5412720829828,84.60297045406304,79.32
ZTS,143.657866053225,155.64851942826303,143.657866053225,143.46
