symbol,f10_over_c1_x,f10_over_prev_a1_x,f10_T,a1_prev,a1_T,f10_over_a1_T_x,sentiment_7d,sentiment7d_gt_0_2,pct_above_sma200,bb_percent_b
DAR,1.006947801949892,0.9300058233202647,36.902631069348104,39.68,40.43,0.9127536747303513,0.3,True,0.20132166182334643,0.9454045157640284
WMT,1.0077130892636248,0.9278215812053908,111.37570260789512,120.04,119.2,0.9343599212071738,0.21,True,0.17757703645746892,0.9315333111899728
AHCO,1.0100144989147595,0.9270727743937803,9.771347042110444,10.54,10.64,0.9183596844088763,0.61,True,0.14754098360655732,0.8306995738636367
UAL,1.005555380651274,0.9265148372900168,102.61151822986936,110.75,116.02,0.8844295658495894,0.2,False,0.2651036606442847,0.731110952312896
PRU,1.0020162486923405,0.9217646272296495,108.50091427120203,117.71,116.43,0.9318982587924248,0.17,False,0.11879631622643827,0.5996366445410859
DXCM,1.0090246818668736,0.9200744154797752,64.12918675894034,69.7,69.24,0.9261869838090748,0.2,False,-0.06129891610121818,0.7153102336825128
SLVM,1.0042962740339336,0.9126542083444386,47.60404350724591,52.16,52.27,0.9107335662377254,0.13,False,0.07995421506522704,0.9521214365049987
ALK,1.014868767827134,0.9121998661367017,43.59403160267297,47.79,49.66,0.8778500121359841,-0.01,False,-0.009426999597068608,0.35605747364068585
LFST,1.0082022689773504,0.9050135493196879,6.561348232567737,7.25,7.44,0.8819016441623302,,,0.3006538232928919,0.9175507729615044
AENT,1.0149448838798096,0.8955761730916355,6.815334677227346,7.61,7.6,0.8967545627930719,0.47,True,0.42698886573161343,0.2982017982017979
TXG,0.9965218192934807,0.8955472473759329,18.73484841510452,20.92,21.2,0.8837192648634208,0.47,True,0.6589328053962267,0.9208270165716972
PAR,1.023160338950363,0.8920381972389286,35.431757194330245,39.72,38.42,0.9222216864739783,0.21,True,-0.23841315590725365,0.787519448299063
MDB,1.0280465095185074,0.883560128013995,341.8405779273345,386.89,389.2,0.878315976175063,0.34,True,0.40701940725150054,-0.0016039425943770846
STZ,1.0069812915487346,0.8792234119499676,137.47537269249693,156.36,158.75,0.8659865996377759,0.16,False,0.015342383045349184,1.0801384125428715
ERIE,0.842778351974767,0.8752036183851253,248.42654707861783,283.85,283.07,0.8776152438570595,,,-0.14733123441929852,0.4777578910080709
TX,0.9993694669774189,0.874603458147173,36.803313518833036,42.08,41.9,0.8783607045067551,0.38,True,0.29582953192410577,0.966255442670537
FLOC,1.0153465379566236,0.8731037844922261,17.269992857256234,19.78,19.87,0.8691491120914058,0.43,True,0.13435255700307147,0.9199753295813741
CAL,1.0165746449126283,0.8610111333123667,11.933614307709401,13.86,13.78,0.8660097465681714,0.09,False,0.0014025449286736436,0.7665673864482502
ITGR,1.0046854138098331,0.8567762431461565,72.56894779447946,84.7,85.28,0.8509492002166915,-0.48,False,-0.15931013746974831,0.9510783798001058
PACS,1.0010064176612536,0.847015684642129,33.44864938651767,39.49,39.37,0.8495973936123362,0.33,True,1.4560965719454755,0.5497629191036656
CDE,1.0055436016011192,0.8371926819585302,17.38012007745909,20.76,21.22,0.8190443014825207,0.42,True,0.6661039705408949,0.9057102097470696
ASML,0.9885838367894695,0.8290707443571604,1047.7132810590308,1263.72,1331.6,0.7868078109485063,0.34,True,0.5338522198582949,0.9425843824320339
AMTM,0.9998788065106676,0.8273413978289912,28.626012364883096,34.6,34.58,0.8278199064454337,0.47,True,0.43526569847798746,0.9156168290943664
CVNA,1.0032176518665876,0.8196191749690201,375.8855498325423,458.61,460.88,0.8155822553214336,,,0.3524160704167201,0.7545161532119031
HLF,0.9928638772000222,0.7945694150179262,12.625708004634848,15.89,16.68,0.7569369307335041,0.36,True,0.7660137638962412,1.0816176131914694
NESR,1.0066181027375196,0.767967875469775,14.046132442342184,18.29,18.45,0.7613079914548609,0.47,True,0.9330099426907077,0.9428609738344249
HBM,1.0060375845472784,0.7396183891957582,17.077788606530056,23.09,22.76,0.7503422059108109,0.4,True,0.7858684138255718,0.9068900572863535
VERA,1.0221327593466787,0.7149623876317088,34.61132918525102,48.41,46.28,0.7478679599233151,0.31,True,0.6455579180918924,0.17941476568763218
MU,0.9973398708998034,0.7072365916314745,235.75731782035203,333.35,336.63,0.7003455361089387,0.25,True,1.105525856067671,0.740312251024305
AMRK,1.0121006488986741,,29.109990476341647,,29.25,0.9952133496185178,,,,
