symbol,f10_over_c1_x,f10_T,f10_date,a1_prev,a1_prev_date,f10_over_prev_a1_x
UBER,0.9998338568644151,91.03586851796003,20250920,92.95,20250918,0.979406869477784
TX,1.0007857675934864,34.607610434755,20250920,35.45,20250918,0.9762372478069111
UIS,0.9990385813217106,3.891354780082856,20250920,3.99,20250918,0.9752768872388109
DUOL,0.9992842039359351,271.77026880525705,20250920,279.16,20250918,0.9735286889427461
MSFT,0.9997629081292755,495.3561925604356,20250920,510.02,20250918,0.971248563900309
META,0.9998546538921664,752.7818052491231,20250920,775.72,20250918,0.9704298010224347
AXON,0.9997881890789242,728.8782124093268,20250920,751.81,20250918,0.9694978949592674
MNMD,0.9983203580527675,9.267276630529675,20250920,9.57,20250918,0.9683674640051907
CLS,0.9829355827705012,238.47317375914668,20250920,247.66,20250918,0.9629054904269833
CG,1.0167734393566497,64.83684711353787,20250920,67.57,20250918,0.9595507934517963
