symbol,f10_over_c1_x,f10_over_prev_a1_x,f10_T,a1_prev,a1_T,f10_over_a1_T_x,sentiment_7d,sentiment7d_gt_0_2
SPB,1.0072234756852607,1.0463934217493374,59.8432397898446,57.19,56.89,1.0519114042862472,,
SBUX,1.0208036868927701,1.0450061302956404,88.95092181076491,85.12,83.41,1.0664299461786946,0.12,False
MATV,1.008558077343382,1.0441227819783372,12.613003206298313,12.08,11.81,1.0679934975697132,,
DDI,1.026527256983744,1.041233048320905,9.59496254027714,9.215,9.35,1.026199202168678,0.0,False
ITGR,1.0046854138098331,1.0390742811351583,72.56894779447946,69.84,69.18,1.0489873922301163,,
AHCO,1.0100144989147595,1.037297987485185,9.771347042110444,9.42,9.39,1.0406120385634126,0.03,False
IMCR,1.0158144434846696,1.0371226087679102,40.219614768019554,38.78,38.11,1.055355937234835,,
ZBH,1.0016088988760152,1.0362787845115522,97.70036380374914,94.28,92.76,1.0532596356592188,0.12,False
TBLA,1.0027463790518745,1.0361729440099303,4.092883128839225,3.95,4.05,1.0105884268738827,,
PEP,1.0089927635513474,1.0350194958301007,150.0985272852812,145.02,145.63,1.030684112375755,0.18,False
HLF,0.9928638772000222,1.0348940987405615,12.625708004634848,12.2,11.815,1.0686168433884764,,
ARCO,1.008884884863728,1.03476457681487,7.667605514198187,7.41,7.22,1.0619952235731562,0.05,False
SLGN,1.0072370011540521,1.0330848666635934,39.97005349121443,38.69,38.39,1.0411579445484351,,
ATR,1.0078384421065842,1.0325250314600303,125.87512658529229,121.91,120.05,1.0485225038341714,,
PAR,1.023160338950363,1.0320931312068233,35.431757194330245,34.33,33.525,1.0568756806660775,,
AVGO,0.9994044944873282,1.031888683104264,402.684239694608,390.24,401.1,1.003949737458509,0.26,True
AHL,1.0247318808505625,1.0265105691158054,37.9808910572848,37.0,36.96,1.0276215112901732,,
AMZN,1.006837761314322,1.0240692671761347,235.0546188949382,229.53,226.89,1.0359849217459483,0.29,True
ARDT,1.0207283702313363,1.0227316217726576,8.98981095538166,8.79,8.59,1.0465437666334878,0.02,False
TWLO,1.0017179796960844,1.0206262085373101,129.9461288709703,127.32,130.13,0.9985870196800916,,
WELL,0.9985307122951285,1.0174170360108994,207.86847462738686,204.31,200.9,1.0346862848550864,0.29,True
CWT,1.0044855355463758,1.0161328767211655,45.60404350724591,44.88,43.56,1.0469247820763523,0.45,True
CWT,1.0044855355463758,1.0161328767211655,45.60404350724591,44.88,43.56,1.0469247820763523,0.45,True
XOM,1.0239568600696871,1.0142296069993817,118.19831839970794,116.54,115.99,1.019038868865488,0.21,True
LFST,1.0082022689773504,1.0125537395937865,6.561348232567737,6.48,6.41,1.0236112687313161,,
KNF,1.008327602001568,1.0122877925873104,75.55716083871685,74.64,74.77,1.0105277629893923,,
SHOP,1.026646804200968,1.011513627053594,162.93461504579292,161.08,158.41,1.028562685725604,,
AENT,1.0149448838798096,1.0111772518141462,6.815334677227346,6.74,7.4,0.92099117259829,,
DAR,1.006947801949892,1.010754069278228,36.902631069348104,36.51,36.2,1.01940969804829,,
CHMI,1.0041242346225732,1.0087941672456813,2.5018095347692895,2.48,2.45,1.0211467488854242,,
DHR,1.0032255440180795,1.006060040965762,227.62108426850367,226.25,224.5,1.0139023798151612,0.24,True
IDYA,1.0099209989706082,1.0043696342883774,36.026738781924095,35.87,35.34,1.0194323367833642,0.0,False
BIIB,0.9991218937321573,1.0033439715579682,181.90626204345963,181.3,180.44,1.0081260365964289,0.29,True
SNDX,1.0248068449449905,1.003305335142162,20.38716441008873,20.32,19.98,1.02037859910354,,
IMXI,1.0128022463205202,1.0024787588405626,15.438172886144663,15.4,15.37,1.0044354512781173,,
AAPL,1.002044148213553,1.0023275465620938,279.4288734305805,278.78,277.89,1.0055377071164149,0.19,False
IBM,0.9981407466013894,0.9999376931904256,307.92081324105965,307.94,309.38,0.9952835129648318,0.21,True
DVN,1.005929071486735,0.9958034352329619,37.31275471817908,37.47,37.575,0.9930207509828097,0.26,True
XPO,1.0012322577715995,0.9953905835629876,142.26122220282218,142.92,140.82,1.0102344993809274,,
AMRK,1.0121006488986741,0.9952133496185178,29.109990476341647,29.25,29.25,0.9952133496185178,,
GOOGL,0.9984441710639931,0.9950326442952533,319.674137632736,321.27,313.72,1.0189791458393982,0.23,True
MU,0.9973398708998034,0.9938340688826913,235.75731782035203,237.22,246.92,0.9547923125722989,0.26,True
ZM,1.0227192528936218,0.9916813298076661,86.92086855764194,87.65,89.09,0.9756523578139178,,
AMTM,0.9998788065106676,0.9912054142965061,28.626012364883096,28.88,28.84,0.992580179087486,,
UPWK,1.003459536473355,0.9869783733907721,19.818525737686702,20.08,19.88,0.9969077332840394,,
CTRA,1.0050875294897514,0.9856535770490472,26.997051475373404,27.39,26.58,1.0156904242051694,0.24,True
QCOM,1.0151345210825935,0.9812774316325457,171.53710782368532,174.81,175.31,0.9784787395110679,0.21,True
DXCM,1.0090246818668736,0.9792210529690081,64.12918675894034,65.49,65.62,0.9772811148878441,0.03,False
UAL,1.005555380651274,0.9777181346342959,102.61151822986936,104.95,104.5,0.9819284041135824,0.26,True
HBM,1.0060375845472784,0.9769901948815821,17.077788606530056,17.48,17.365,0.9834603286225199,0.05,False
SLVM,1.0042962740339336,0.9768939771649069,47.60404350724591,48.73,48.23,0.9870214287216652,0.48,True
NRDS,1.002062020738672,0.9750863237128508,15.045581974889286,15.43,15.13,0.9944204874348503,,
CVE,0.9988341621555047,0.974116558672779,17.836074189298582,18.31,17.955,0.9933764516457022,0.39,True
