symbol,f10_over_c1_x,f10_over_prev_a1_x,f10_T,a1_prev,sentiment_7d,sentiment7d_gt_0_2,pct_above_sma200,bb_percent_b,f10_over_ma20_x,f1_over_prev_a1_x,rule2_ok,spy_trend_value,spy_trend_bin,persist_2of3_ok,rule_4a,stop_loss_pct
AES,1.0097603037989882,0.945409731594084,14.876022126632911,15.735,,,0.16465704684720306,0.6178737139398832,1.0303452805901765,0.9450627399617542,False,,,True,True,-0.1397607087323387
LLY,1.0026106519277738,0.9452352784994881,1047.263974460723,1107.94,,,0.22023277366214744,0.3703794555250306,0.9892340228304543,0.942682906750155,False,,,False,False,-0.0863341514363496
DOV,1.0021273705726907,0.9449690498893845,207.82704314217233,219.93,,,0.1390801976852476,0.5800832529228279,1.0093958893217203,0.9428887537792603,False,,,False,False,-0.0945886155667196
GIS,1.0039759895049067,0.9447244689905239,45.82858399073031,48.51,,,-0.06054365733113687,0.6589409841876219,1.0226649913469181,0.9408446236342392,False,,,True,False,-0.12147955040167646
HBAN,1.0038788566671832,0.9442561883458496,17.959752702338058,19.02,,,0.09290953545232261,0.5014806040864664,1.0046290038786183,0.9404726371659248,False,,,False,False,-0.10834202354260469
IFF,1.0048256033990612,0.9440989008951732,70.13710734750242,74.29,,,0.014287272330679501,0.35067541908533617,0.9899240285599699,0.939397083328671,False,,,False,False,-0.10298810347114462
LEN,0.9999558433720304,0.9438639540109218,108.7944786590689,115.265,,,-0.07049381724609871,0.25446930866358286,0.9551217373129947,0.9439071767045127,False,,,False,False,-0.11525064435446986
VTRS,0.9892994847771458,0.9422959843587397,13.531370335391502,14.36,,,0.3620207289996913,0.8382009345794388,1.0328501897100604,0.9426829907506,False,,,True,True,-0.14561191489248237
OKE,1.0043132705072402,0.9421659290059436,75.69361073633752,80.34,,,0.020109649598023527,0.5250484581497793,1.0087679695976384,0.9379697670829358,False,,,False,False,-0.1423616617368737
OXY,1.0031063048354818,0.9414529448071907,43.95643799304773,46.69,,,0.023390788081002034,0.4984356667970272,1.0033883763935292,0.9384296320276869,False,,,False,False,-0.12307293967953992
