symbol,signals,fulfilled_rate,avg_ret10d,std_ret10d,sharpe_proxy,avg_fulfill_ratio,avg_pred_edge,avg_sent7d,score
UPWK,16,0.3125,-0.0015795535322459392,0.07256908095454846,-0.02176620554468985,1.0139009170789393,0.005494585906929514,0.19999999999999998,0.5750424268362591
ERIE,18,0.3333333333333333,-0.006327018123969574,0.023298497331557668,-0.2715633559508436,1.107376712879676,-0.10629098769002081,0.01642857142857143,0.56256631357115
FLOC,18,0.3333333333333333,0.03156955103612574,0.04566894520217305,0.6912695464361979,1.0318530531776413,0.0037240473529312787,,0.5554095076426134
XOM,17,0.23529411764705882,0.0253148709871612,0.02080308668210711,1.2168805222993524,1.0037825920283685,0.013734933907585022,0.2070588235294118,0.5481762296383319
FSLR,18,0.2222222222222222,0.03094194624577362,0.052517874257379,0.5891698147212449,1.0033699007576011,0.01451966507033595,0.26944444444444454,0.5452030761906651
QUAD,18,0.2777777777777778,0.009249785290918966,0.07549856839286026,0.12251603557285065,1.0226141681745173,0.0032421442572307083,0.060000000000000026,0.5411999095349017
CG,14,0.21428571428571427,0.028151424327019392,0.011255169375424246,2.5011995277910484,1.019984033882585,0.0013655809930267413,0.07428571428571429,0.5286728954188796
CCJ,10,0.2,0.040948961663886535,0.06543015766118905,0.6258423199272843,1.0227720448827886,0.012013721381804343,0.20599999999999996,0.5285548020256646
HLF,18,0.2222222222222222,0.013914631619988196,0.12537970725578895,0.11097993387080379,1.0126808712283084,-0.0028341340261931716,0.2511764705882352,0.5266612885789368
ARDT,8,0.25,0.019398496511610092,0.0302982713682137,0.6402509329941939,0.9954839062081549,0.02484830138314012,-0.0024999999999999988,0.5244943245553892
DBRG,14,0.14285714285714285,0.07739621201537655,0.11472811844339616,0.6746054329615961,1.0444802125184363,0.006497114718972352,0.29333333333333333,0.5238975501141974
MAX,3,0.3333333333333333,0.019607843137254832,0.0,,1.0118665726226361,0.014193585324306479,0.42,0.5153168014976126
PRU,18,0.2222222222222222,0.006610385369955243,0.04139661856975583,0.15968418673656498,1.0194529206408574,-0.0039025726366058227,0.17277777777777778,0.5121002824399508
ALK,18,0.2222222222222222,0.032796682991471954,0.0822168948322374,0.3989044229704028,1.0821315277100332,-0.012318037573906586,-0.0031249999999999976,0.5116698196307454
