theta_ma20,bb_floor,regime_on,sent_required,persistence,n_trades,coverage_daily,win_rate,avg_ret_10d,sharpe_like,max_dd_like
1.03,0.75,0,0,3of4,0,0.000,0.000,0.0000,0.000,0.000
1.03,0.75,0,0,3of5,0,0.000,0.000,0.0000,0.000,0.000
1.04,0.5,1,0,1of1,0,0.000,0.000,0.0000,0.000,0.000
1.04,0.5,1,0,2of3,0,0.000,0.000,0.0000,0.000,0.000
1.04,0.5,1,0,3of4,0,0.000,0.000,0.0000,0.000,0.000
1.04,0.5,1,0,3of5,0,0.000,0.000,0.0000,0.000,0.000
1.04,0.5,0,0,1of1,89,44.500,0.596,0.0162,0.174,0.318
1.04,0.5,0,0,2of3,0,0.000,0.000,0.0000,0.000,0.000
1.04,0.5,0,0,3of4,0,0.000,0.000,0.0000,0.000,0.000
1.04,0.5,0,0,3of5,0,0.000,0.000,0.0000,0.000,0.000
1.04,0.6,1,0,1of1,0,0.000,0.000,0.0000,0.000,0.000
1.04,0.6,1,0,2of3,0,0.000,0.000,0.0000,0.000,0.000
1.04,0.6,1,0,3of4,0,0.000,0.000,0.0000,0.000,0.000
1.04,0.6,1,0,3of5,0,0.000,0.000,0.0000,0.000,0.000
1.04,0.6,0,0,1of1,85,42.500,0.588,0.0165,0.175,0.305
1.04,0.6,0,0,2of3,0,0.000,0.000,0.0000,0.000,0.000
1.04,0.6,0,0,3of4,0,0.000,0.000,0.0000,0.000,0.000
1.04,0.6,0,0,3of5,0,0.000,0.000,0.0000,0.000,0.000
1.04,0.65,1,0,1of1,0,0.000,0.000,0.0000,0.000,0.000
1.04,0.65,1,0,2of3,0,0.000,0.000,0.0000,0.000,0.000
1.04,0.65,1,0,3of4,0,0.000,0.000,0.0000,0.000,0.000
1.04,0.65,1,0,3of5,0,0.000,0.000,0.0000,0.000,0.000
1.04,0.65,0,0,1of1,81,40.500,0.580,0.0171,0.178,0.305
1.04,0.65,0,0,2of3,0,0.000,0.000,0.0000,0.000,0.000
1.04,0.65,0,0,3of4,0,0.000,0.000,0.0000,0.000,0.000
1.04,0.65,0,0,3of5,0,0.000,0.000,0.0000,0.000,0.000
1.04,0.7,1,0,1of1,0,0.000,0.000,0.0000,0.000,0.000
1.04,0.7,1,0,2of3,0,0.000,0.000,0.0000,0.000,0.000
1.04,0.7,1,0,3of4,0,0.000,0.000,0.0000,0.000,0.000
1.04,0.7,1,0,3of5,0,0.000,0.000,0.0000,0.000,0.000
1.04,0.7,0,0,1of1,75,37.500,0.573,0.0174,0.177,0.298
1.04,0.7,0,0,2of3,0,0.000,0.000,0.0000,0.000,0.000
1.04,0.7,0,0,3of4,0,0.000,0.000,0.0000,0.000,0.000
1.04,0.7,0,0,3of5,0,0.000,0.000,0.0000,0.000,0.000
1.04,0.75,1,0,1of1,0,0.000,0.000,0.0000,0.000,0.000
1.04,0.75,1,0,2of3,0,0.000,0.000,0.0000,0.000,0.000
1.04,0.75,1,0,3of4,0,0.000,0.000,0.0000,0.000,0.000
1.04,0.75,1,0,3of5,0,0.000,0.000,0.0000,0.000,0.000
1.04,0.75,0,0,1of1,68,34.000,0.574,0.0181,0.181,0.298
1.04,0.75,0,0,2of3,0,0.000,0.000,0.0000,0.000,0.000
