theta_ma20,bb_floor,regime_on,sent_required,persistence,n_trades,coverage_daily,win_rate,avg_ret_10d,sharpe_like,max_dd_like
1.02,0.5,0,0,3of5,1374,42.938,0.448,0.0103,0.126,4.693
1.02,0.6,1,0,1of1,1130,43.462,0.481,0.0084,0.095,3.347
1.02,0.6,1,0,2of3,1035,39.808,0.438,0.0072,0.082,4.660
1.02,0.6,1,0,3of4,783,32.625,0.442,0.0065,0.077,4.622
1.02,0.6,1,0,3of5,1001,37.074,0.429,0.0070,0.084,5.759
1.02,0.6,0,0,1of1,1424,39.556,0.485,0.0092,0.107,3.790
1.02,0.6,0,0,2of3,1290,37.941,0.445,0.0085,0.100,4.625
1.02,0.6,0,0,3of4,1047,31.727,0.447,0.0070,0.085,5.651
1.02,0.6,0,0,3of5,1191,37.219,0.437,0.0077,0.094,5.518
1.02,0.65,1,0,1of1,1051,40.423,0.480,0.0069,0.079,3.677
1.02,0.65,1,0,2of3,959,36.885,0.436,0.0062,0.071,4.873
1.02,0.65,1,0,3of4,721,30.042,0.440,0.0065,0.076,4.358
1.02,0.65,1,0,3of5,917,33.963,0.426,0.0066,0.080,5.607
1.02,0.65,0,0,1of1,1312,36.444,0.482,0.0073,0.086,3.867
1.02,0.65,0,0,2of3,1186,34.882,0.440,0.0064,0.077,5.236
1.02,0.65,0,0,3of4,959,29.061,0.441,0.0054,0.066,5.859
1.02,0.65,0,0,3of5,1093,34.156,0.436,0.0062,0.077,5.551
1.02,0.7,1,0,1of1,958,36.846,0.484,0.0065,0.073,3.423
1.02,0.7,1,0,2of3,880,33.846,0.432,0.0051,0.058,4.353
1.02,0.7,1,0,3of4,649,27.042,0.435,0.0051,0.059,3.625
1.02,0.7,1,0,3of5,827,30.630,0.420,0.0041,0.049,4.966
1.02,0.7,0,0,1of1,1175,32.639,0.483,0.0060,0.070,4.213
1.02,0.7,0,0,2of3,1062,31.235,0.431,0.0042,0.050,5.168
1.02,0.7,0,0,3of4,844,25.576,0.427,0.0030,0.037,5.423
1.02,0.7,0,0,3of5,979,30.594,0.416,0.0033,0.042,5.627
1.02,0.75,1,0,1of1,843,32.423,0.503,0.0081,0.090,2.964
1.02,0.75,1,0,2of3,763,29.346,0.447,0.0063,0.070,2.947
1.02,0.75,1,0,3of4,540,22.500,0.459,0.0078,0.091,2.948
1.02,0.75,1,0,3of5,689,25.519,0.441,0.0062,0.074,3.815
1.02,0.75,0,0,1of1,1013,28.139,0.498,0.0070,0.081,3.722
1.02,0.75,0,0,2of3,902,26.529,0.442,0.0044,0.052,3.988
1.02,0.75,0,0,3of4,682,20.667,0.444,0.0043,0.052,4.103
1.02,0.75,0,0,3of5,812,25.375,0.432,0.0047,0.058,4.475
1.03,0.5,1,0,1of1,1100,42.308,0.474,0.0088,0.098,3.620
1.03,0.5,1,0,2of3,1019,39.192,0.444,0.0076,0.085,4.632
1.03,0.5,1,0,3of4,763,31.792,0.439,0.0069,0.079,4.584
1.03,0.5,1,0,3of5,984,36.444,0.433,0.0083,0.097,5.177
1.03,0.5,0,0,1of1,1381,38.361,0.479,0.0100,0.113,3.838
1.03,0.5,0,0,2of3,1269,37.324,0.451,0.0086,0.098,4.709
1.03,0.5,0,0,3of4,1032,31.273,0.452,0.0075,0.089,5.637
1.03,0.5,0,0,3of5,1181,36.906,0.444,0.0078,0.094,5.567
1.03,0.6,1,0,1of1,1014,39.000,0.482,0.0083,0.092,3.889
1.03,0.6,1,0,2of3,927,35.654,0.447,0.0074,0.082,4.197
1.03,0.6,1,0,3of4,691,28.792,0.446,0.0066,0.077,4.120
1.03,0.6,1,0,3of5,892,33.037,0.435,0.0071,0.084,5.190
1.03,0.6,0,0,1of1,1268,35.222,0.488,0.0094,0.107,4.380
1.03,0.6,0,0,2of3,1155,33.971,0.452,0.0088,0.101,4.263
1.03,0.6,0,0,3of4,925,28.030,0.452,0.0076,0.090,5.086
1.03,0.6,0,0,3of5,1072,33.500,0.441,0.0067,0.080,6.017
1.03,0.65,1,0,1of1,952,36.615,0.483,0.0069,0.077,3.632
1.03,0.65,1,0,2of3,868,33.385,0.444,0.0064,0.072,4.426
1.03,0.65,1,0,3of4,641,26.708,0.446,0.0068,0.079,3.783
1.03,0.65,1,0,3of5,831,30.778,0.438,0.0071,0.085,4.848
1.03,0.65,0,0,1of1,1177,32.694,0.487,0.0076,0.087,4.264
1.03,0.65,0,0,2of3,1058,31.118,0.448,0.0068,0.078,5.077
1.03,0.65,0,0,3of4,841,25.485,0.447,0.0064,0.077,5.212
1.03,0.65,0,0,3of5,993,31.031,0.440,0.0055,0.067,5.902
1.03,0.7,1,0,1of1,874,33.615,0.486,0.0067,0.074,3.683
1.03,0.7,1,0,2of3,795,30.577,0.442,0.0056,0.062,3.754
1.03,0.7,1,0,3of4,581,24.208,0.448,0.0063,0.073,2.981
1.03,0.7,1,0,3of5,750,27.778,0.432,0.0052,0.061,4.280
1.03,0.7,0,0,1of1,1062,29.500,0.488,0.0064,0.073,4.452
1.03,0.7,0,0,2of3,952,28.000,0.441,0.0047,0.055,4.801
1.03,0.7,0,0,3of4,752,22.788,0.441,0.0046,0.057,4.602
1.03,0.7,0,0,3of5,889,27.781,0.424,0.0033,0.041,5.683
1.03,0.75,1,0,1of1,769,29.577,0.506,0.0081,0.088,3.168
1.03,0.75,1,0,2of3,688,26.462,0.453,0.0064,0.070,2.857
1.03,0.75,1,0,3of4,484,20.167,0.469,0.0089,0.103,2.576
1.03,0.75,1,0,3of5,622,23.037,0.452,0.0074,0.085,3.597
1.03,0.75,0,0,1of1,916,25.444,0.503,0.0071,0.080,3.886
1.03,0.75,0,0,2of3,807,23.735,0.449,0.0043,0.049,4.195
1.03,0.75,0,0,3of4,605,18.333,0.455,0.0051,0.061,3.730
1.03,0.75,0,0,3of5,733,22.906,0.445,0.0050,0.060,4.639
1.04,0.5,1,0,1of1,952,36.615,0.466,0.0099,0.107,3.633
1.04,0.5,1,0,2of3,867,33.346,0.441,0.0083,0.091,3.895
1.04,0.5,1,0,3of4,667,27.792,0.442,0.0085,0.096,4.029
1.04,0.5,1,0,3of5,850,31.481,0.428,0.0090,0.102,4.798
1.04,0.5,0,0,1of1,1195,33.194,0.473,0.0106,0.116,4.243
1.04,0.5,0,0,2of3,1083,31.853,0.447,0.0087,0.097,4.265
1.04,0.5,0,0,3of4,882,26.727,0.449,0.0082,0.094,5.122
1.04,0.5,0,0,3of5,1007,31.469,0.437,0.0085,0.098,5.107
1.04,0.6,1,0,1of1,899,34.577,0.473,0.0090,0.097,3.815
1.04,0.6,1,0,2of3,824,31.692,0.441,0.0077,0.085,3.457
1.04,0.6,1,0,3of4,627,26.125,0.443,0.0075,0.086,3.704
1.04,0.6,1,0,3of5,801,29.667,0.428,0.0075,0.086,4.706
1.04,0.6,0,0,1of1,1123,31.194,0.480,0.0097,0.108,4.555
1.04,0.6,0,0,2of3,1021,30.029,0.446,0.0087,0.097,3.924
1.04,0.6,0,0,3of4,816,24.727,0.449,0.0083,0.097,4.251
1.04,0.6,0,0,3of5,952,29.750,0.439,0.0080,0.093,4.759
1.04,0.65,1,0,1of1,856,32.923,0.475,0.0080,0.087,3.605
1.04,0.65,1,0,2of3,785,30.192,0.439,0.0070,0.077,3.800
1.04,0.65,1,0,3of4,593,24.708,0.445,0.0077,0.089,3.481
1.04,0.65,1,0,3of5,760,28.148,0.434,0.0076,0.089,4.444
1.04,0.65,0,0,1of1,1056,29.333,0.481,0.0083,0.093,4.364
1.04,0.65,0,0,2of3,958,28.176,0.446,0.0075,0.085,4.275
1.04,0.65,0,0,3of4,763,23.121,0.447,0.0073,0.087,4.334
1.04,0.65,0,0,3of5,894,27.938,0.442,0.0072,0.087,4.581
1.04,0.7,1,0,1of1,793,30.500,0.478,0.0074,0.080,3.736
1.04,0.7,1,0,2of3,722,27.769,0.440,0.0066,0.072,3.225
1.04,0.7,1,0,3of4,534,22.250,0.440,0.0060,0.068,2.783
1.04,0.7,1,0,3of5,686,25.407,0.427,0.0051,0.060,3.903
1.04,0.7,0,0,1of1,962,26.722,0.481,0.0068,0.076,4.505
1.04,0.7,0,0,2of3,867,25.500,0.442,0.0056,0.064,4.164
1.04,0.7,0,0,3of4,682,20.667,0.438,0.0045,0.054,3.870
1.04,0.7,0,0,3of5,808,25.250,0.425,0.0044,0.053,4.656
1.04,0.75,1,0,1of1,702,27.000,0.497,0.0084,0.089,3.228
1.04,0.75,1,0,2of3,630,24.231,0.454,0.0068,0.073,2.759
1.04,0.75,1,0,3of4,450,18.750,0.471,0.0090,0.102,2.299
1.04,0.75,1,0,3of5,576,21.333,0.455,0.0077,0.087,3.187
1.04,0.75,0,0,1of1,841,23.361,0.496,0.0073,0.080,3.946
1.04,0.75,0,0,2of3,748,22.000,0.451,0.0049,0.055,3.810
1.04,0.75,0,0,3of4,559,16.939,0.456,0.0055,0.065,3.145
1.04,0.75,0,0,3of5,678,21.188,0.448,0.0060,0.070,3.923
1.05,0.5,1,0,1of1,823,31.654,0.467,0.0099,0.105,3.434
1.05,0.5,1,0,2of3,754,29.000,0.448,0.0086,0.091,3.879
1.05,0.5,1,0,3of4,567,23.625,0.450,0.0079,0.087,4.099
1.05,0.5,1,0,3of5,727,26.926,0.444,0.0093,0.103,4.795
1.05,0.5,0,0,1of1,1017,28.250,0.466,0.0100,0.107,3.964
1.05,0.5,0,0,2of3,928,27.294,0.448,0.0086,0.093,4.851
1.05,0.5,0,0,3of4,740,22.424,0.449,0.0072,0.081,5.452
1.05,0.5,0,0,3of5,849,26.531,0.446,0.0087,0.099,5.180
1.05,0.6,1,0,1of1,792,30.462,0.472,0.0094,0.099,3.456
1.05,0.6,1,0,2of3,727,27.962,0.451,0.0082,0.087,3.715
1.05,0.6,1,0,3of4,544,22.667,0.458,0.0080,0.089,3.578
1.05,0.6,1,0,3of5,699,25.889,0.446,0.0085,0.095,4.569
1.05,0.6,0,0,1of1,972,27.000,0.472,0.0093,0.100,4.112
1.05,0.6,0,0,2of3,885,26.029,0.446,0.0074,0.082,4.551
1.05,0.6,0,0,3of4,695,21.061,0.450,0.0068,0.078,4.517
1.05,0.6,0,0,3of5,816,25.500,0.449,0.0085,0.096,4.915
1.05,0.65,1,0,1of1,761,29.269,0.470,0.0082,0.087,3.266
1.05,0.65,1,0,2of3,702,27.000,0.449,0.0077,0.083,3.637
1.05,0.65,1,0,3of4,522,21.750,0.456,0.0076,0.085,3.393
1.05,0.65,1,0,3of5,668,24.741,0.442,0.0078,0.089,4.350
1.05,0.65,0,0,1of1,925,25.694,0.470,0.0077,0.084,3.896
1.05,0.65,0,0,2of3,841,24.735,0.444,0.0063,0.070,4.646
1.05,0.65,0,0,3of4,658,19.939,0.442,0.0052,0.061,4.422
1.05,0.65,0,0,3of5,779,24.344,0.442,0.0069,0.080,4.860
1.05,0.7,1,0,1of1,708,27.231,0.472,0.0074,0.077,3.397
1.05,0.7,1,0,2of3,651,25.038,0.445,0.0067,0.071,3.352
1.05,0.7,1,0,3of4,469,19.542,0.452,0.0058,0.064,2.902
1.05,0.7,1,0,3of5,596,22.074,0.433,0.0046,0.052,3.880
1.05,0.7,0,0,1of1,853,23.694,0.471,0.0066,0.071,4.023
1.05,0.7,0,0,2of3,775,22.794,0.440,0.0049,0.055,4.462
1.05,0.7,0,0,3of4,593,17.970,0.442,0.0033,0.038,3.951
1.05,0.7,0,0,3of5,706,22.062,0.429,0.0038,0.044,4.543
1.05,0.75,1,0,1of1,631,24.269,0.490,0.0082,0.084,3.041
1.05,0.75,1,0,2of3,575,22.115,0.454,0.0069,0.073,2.849
1.05,0.75,1,0,3of4,404,16.833,0.465,0.0073,0.080,2.500
1.05,0.75,1,0,3of5,519,19.222,0.451,0.0064,0.072,3.288
1.05,0.75,0,0,1of1,750,20.833,0.485,0.0071,0.075,3.547
1.05,0.75,0,0,2of3,676,19.882,0.441,0.0042,0.046,4.141
1.05,0.75,0,0,3of4,495,15.000,0.442,0.0032,0.037,3.308
1.05,0.75,0,0,3of5,605,18.906,0.440,0.0043,0.050,4.012
